videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
00b8thRpZNo,True,True,1,Education,508,1776,20210721,UC-mmM8t55LprYbohKnObm5A,@hendri_rabdoel,id
00g5vC6Ks_8,True,True,1,Gaming,963,96,20210504,UCIjEQ1mSmJlNPsLWCxLA8ig,@KennyKunn,id
00ghDux2LmE,True,True,9,Education,234,1599,20230708,UCA3gR5YkeuYoxHUGWwed6YQ,@trendingkita,id
00gq4-czk24,True,True,2,Entertainment,189,105,20221031,UClH-iALhZ2niASkp-XSNGpA,@KamiBijakID,id
00gvnCrwv6w,True,True,1,Science & Technology,556,16,20230905,UCoHItt65Y5Ho7jFlbiGQwdQ,@GeniusAcademy_id,id
00gYNwqPglk,True,True,1,Education,272,986,20220905,UCQPXdQVj6kjPSa7rcP8w_Rg,@baharuddiniskandar7291,id
00HJAQOAtZ0,True,True,1,Education,1956,15,20221105,UCdkRlGnY-ulRQQhCxFLQpaw,@PapanTulisORG,id
00hr1XU4zFc,True,True,1,Sports,307,319,20211221,UC0zq9gvnbZNDG79yvkXgftg,@Ocehanbola,id
00_jbgnPGAI,True,True,2,People & Blogs,558,2872,20230119,UCh0NVMDgPMaGdINFFeB564w,@radenvlog9492,id
00m7ijYxrsc,True,True,1,News & Politics,71,992,20230621,UCzl0OrB3-ehunyotIQvK77A,@metrotvnews,id
00mDt_eRJss,True,True,1,Science & Technology,437,3394,20210913,UCDugWb-CqfIWjUawcq6p9jg,@Gadgetviewid,id
00N67fhR86k,True,True,5,People & Blogs,589,103060,20220221,UCc-ISEtup0D1cVvsMH0g56g,@tukangpapanatas,id
00OZ0VNzL2Y,True,True,1,Entertainment,619,10028,20220402,UCrl8mNR2CBfKQEQlUS_tVGQ,@DCUINDO,id
00pg3iU8wcE,True,True,1,Travel & Events,180,2,20231124,UCBGjounUYuuGquFTdK1_5Xg,@harianmoslemchannel,id
00qVpvQpnKI,True,True,1,People & Blogs,138,11,20220130,UCyOpK0926d8vZ7AypXGNoeA,@JasaDesainGrafis,id
00rSdPO5Fmc,True,True,1,Education,372,968,20220102,UCaoWogiPw_ZM1O0qDuVwVrw,@SayyidahHumairah,id
00rtSqZgCXU,True,True,2,People & Blogs,16,14,20230703,UC7KsiET5CpBCJ5GOH_u0UAw,@Ewidjayanto,id
00s4OSAzH5M,True,True,2,People & Blogs,254,44,20220724,UCRx4w6JKnEWtI11zwYW-jxA,@gilangperdanaBerkah,id
00scMxB39VI,True,True,1,Autos & Vehicles,425,3770,20210228,UC8iINvkd7Al3tMLdphDpqOQ,@indonesiantrans-spotter,id
00tNPge2VH0,True,True,7,Autos & Vehicles,735,122600,20200802,UCQhv_qOf1r00Dw2RGy8Knlg,@SidikNuryaden,id
00VevQGdAuY,True,True,2,Howto & Style,934,7732,20220923,UCVmtJZikj53QxYazCG41UHQ,@Sol_Sepatu_Ajaib,id
00vwaqcbxqk,True,True,1,People & Blogs,105,0,20231125,UCqRgH7JUeWEW6yJ7HldJqxg,@HUIS-qw5vc,id
-00wmrYMd2E,True,True,10,Howto & Style,888,6626,20220624,UCwzhqDFSnaW77GEohdYvDKg,@dityaariawan,id
00Wre63Te6A,True,True,3,Entertainment,519,421617,20230402,UCetdWurFtafWpzVCNeR0EQQ,@Ariefvidchanel2,id
00WWv_7u0x4,True,True,4,Science & Technology,471,162029,20220709,UCM7-mA7JgsSBMIa56Zh0kcw,@MCPhonecarekediri,id
00xQ1bkXbrY,True,True,1,Howto & Style,429,11880,20220812,UCfGldPlbXoN2_DA7YrMZVnA,@TELOLETAdventure,id
0115hLlmmcM,True,True,2,Travel & Events,612,1125,20220519,UCInbSnfi8eQCnMJQI9Zf0SQ,@WidyasenaExplore21,id
011hL_mzzXg,True,True,1,Film & Animation,984,455,20230902,UCgjtBZHcQA2VBBB38Lagu7w,@hilyamafaza,id
012Uyo9CK0A,True,True,2,Entertainment,1168,1975,20221104,UCrl8mNR2CBfKQEQlUS_tVGQ,@DCUINDO,id
013AMZgt4Qs,True,True,1,People & Blogs,481,16289,20221224,UCyORfPnXi0lRgkv1ZDIw36g,@begundalperikanan5251,id
019k_uAwCG0,True,True,1,News & Politics,293,8078,20230327,UCCmxhj2oh1xePkspF3Oa34w,@tokoemasdanperhiasan,id
01a3roDVFvM,True,True,27,Education,307,1408,20221029,UCwV-HXrDJ2mU-sWmbmWie5A,@RumahBelajarNabata,id
0_-1C6BBMYQ,True,True,1,Film & Animation,3705,683,20221024,UCNpY7tYDkSdd584lyFlL86Q,@AbrizarCuppy,id
01cab9wGIAA,True,True,2,Sports,50,745,20230925,UCCJTk0if-16RKiYeT0AsMtA,@BukanSepakbolaBiasa,id
01DeZEbz-GU,True,True,2,Gaming,923,435,20220629,UCo2hbVI7R2O6clmzjhx-Nww,@gamerscools,id
01E8sSji8ZA,True,True,2,Autos & Vehicles,515,56177,20220120,UCv-8d4TO5Fv0wYS495N9uoQ,@fimotorchannel,id
01EhCGTr4yA,True,True,1,People & Blogs,459,59,20230109,UCwH1iZ_dtf6Wvin3WmWMAkw,@birokartohadiningrat,id
01esGsuYZZY,True,True,1,Science & Technology,154,19526,20230922,UCNDPQGDYpgaglAp7eFBo_sQ,@androbuntu,id
01eTfT8uNNE,True,True,1,People & Blogs,441,370,20230126,UCtUDfGlgFHde4u57OTnhY_g,@Seansilin,id
01EZ1fmCQxo,True,True,2,Travel & Events,807,103,20200724,UC5NccZoLB8g2zQX-_AnpVBA,@onionfamily9461,id
01fOvfbzMZg,True,True,6,Science & Technology,385,451,20230801,UChhzkdTKQKXgVNm1ee4YXaw,@karpetmerahislami,id
01FwPG_w1C4,True,True,2,People & Blogs,562,294,20211013,UCbJZX2uOgKpFlCOkM2P558Q,@suasanakampung2,id
01j4VAk1Wfc,True,True,2,Education,142,2836082,20160120,UCu0yQD7NFMyLu_-TmKa4Hqg,@KokBisa,id
01ki5h-OPcA,True,True,2,Howto & Style,271,1034,20220513,UCoB0CdSIPFwzkADiy1vnXKA,@SyamsiTutorial,id
01l3o-jpzQs,True,True,2,Science & Technology,744,3862,20210721,UCCGGwF7j0ei4WJd8yXNUQnw,@suryaservis2089,id
01lWr6GWq3o,True,True,1,Pets & Animals,422,2287,20210830,UChAUiklL-UjGIpZ7JT91m6A,@pakguruharso9894,id
0-1Okq3YY1E,True,True,2,Sports,148,18877,20230716,UCrashldbYkamCc4j1rBIWPQ,@timnasfanatik,id
01qZ_oi8RJ0,True,True,2,People & Blogs,143,111,20230129,UCNfOc5ZXPxvIq_Zhm4ESjug,@Jadilah.Terang,id
01SKN5DpkbM,True,True,2,People & Blogs,279,1084,20211217,UCqoH4vxzuCDBBlNzJiZrKJw,@dedafarid1217,id
01t5AjYCtoc,True,True,3,People & Blogs,828,42,20230905,UCNqBp90---XQ27nTFmp-6bQ,@pilusmeow2924,id
01V5wPgAlU0,True,True,1,Travel & Events,607,198,20230218,UCzTkS0qGXGdrCPcVJysCbZQ,@pernolotv8064,id
01voo89YDO8,True,True,1,Sports,363,797,20210801,UCyTg2BmTD64VFEcHhv65P3A,@DHPbike,id
01WQn4LVXu4,True,True,1,People & Blogs,60,521,20230515,UCgpRCl1rnNXe0NEP6MHUd0A,@yunitadesyw,id
0_1W-w_LRUI,True,True,1,Education,691,3247,20210829,UCjHMXWIr8JkePxWJbZqMQgA,@Almamimid19,id
01WYOAV_l6g,True,True,2,Howto & Style,285,284,20220414,UCoB0CdSIPFwzkADiy1vnXKA,@SyamsiTutorial,id
01X_l94mJc4,True,True,1,Film & Animation,700,2894,20220127,UCWLZCMRmjT1q5gSCU-_pEBQ,@FahmiDayan,id
01X_QvJSl3s,True,True,4,Education,60,706,20211031,UCu7uHcLXIomqzd5jX6W-u9w,@SobatPembelajar,id
