videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0000Jb517-I,True,True,1,News & Politics,676,11284,20230303,UC_xezqwYXy_gIF6QjvNf-ig,@SEIJI-MANABU,ja
0004QT92wug,True,True,8,Entertainment,203,13241,20221220,UCp1FmJssZPhlNbqMK8vC-tA,@bon6967,ja
0017RsBbUHk,True,True,1,Gaming,722,1809768,20200118,UCTW2tw0Mhho72MojB1L48IQ,@nobamangames,ja
001CLGiZDTg,True,True,12,People & Blogs,442,409,20221216,UCUSGKicv0Zt6VxKjqmOykdw,@saccolog,ja
002jPtUKrEc,True,True,1,Gaming,1039,113,20201107,UCKY5KLmRWfL9lDAtxrFKr-Q,@huurinnkazann,ja
002nFVDlz9Q,True,True,1,Sports,612,650,20230516,UC4fZHkieD1O15danoYQ-wvA,@sportshighlight5210,ja
003qqivZBck,True,True,1,People & Blogs,694,10,20230611,UCRFwbp8yyAVADvuokl5eMIw,@KaoYasu,ja
0045COyHdAU,True,True,1,Entertainment,122,54,20201014,UCX5sLmR6o61OoXbbqfDILfA,@user-qi2do8iz3n,ja
004FeDWAeOs,True,True,4,People & Blogs,1213,84,20211018,UCWo9_VvNWEC8Co_xX865wGA,@user-sb1hk8rk7o,ja
004SKPFClHk,True,True,1,News & Politics,64,9,20170925,UCMaoRkORkmC8NhWYVq2b-gQ,@korea2474,ja
004WFxyFGsg,True,True,1,Entertainment,68,132928,20230304,UC-N5L3Q8gQxaCIsZQW5_RtA,@animedailyclip,ja
005QhL0bFxw,True,True,1,Gaming,286,1296,20220508,UCnBr_md6hKYbf-j6lk53WCQ,@SekirayRitoriri,ja
005SAlK_OXA,True,True,1,Entertainment,1415,357,20230311,UCb36xzS_e2FK4h9tCun4nRg,@Tetsuko2023,ja
006PKj0rX6Y,True,True,1,People & Blogs,729,3349,20230404,UCubhvxLResC19S3QDiqcK8Q,@sinndepotonline373,ja
00780KJVvek,True,True,1,Entertainment,710,2642713,20180809,UCZf__ehlCEBPop-_sldpBUQ,@HikakinTV,ja
00aF6wqt1_w,True,True,5,Howto & Style,790,12576,20220416,UCCOM5OkoyUFJa5T4kJn3r0g,@kanagawaMOVIE,ja
00BKFFCqNuI,True,True,1,People & Blogs,363,1622,20230520,UCbckjfuGmGVgUVQtvnXk2yg,@Tokyo_breakfast,ja
