videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
00e7RzFsfKE,False,True,1,News & Politics,907,12,20201105,UCccsaquJfdd5OfsTlfHgH9A,@wayfinance755,
00Em-X8Qk5c,False,True,1,People & Blogs,212,111,20230424,UCcmRQCMC_BV_JgJPLQtODaQ,@besttravelholiday,
00NCDMORifM,False,True,1,Entertainment,554,1,20230319,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
00Np5-9ECJg,False,True,1,Science & Technology,409,6532,20220801,UC15PpRQv5b9y7RWz8TTz48g,@SYS-YunFei,
00swyAx4yKw,False,True,1,Entertainment,575,14,20230521,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
00UUCkJxSyc,False,True,1,Howto & Style,1942,21,20230926,UCMp0eK0tfIq89pzBOxDFtdw,@LIFE2023-xj5ls,
01BHcKCzmNY,False,True,1,Entertainment,701,18,20230531,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
01bjKgzlLBw,False,True,1,Howto & Style,132,5248,20220314,UCeiF-Lzk8KJziFyKTdoWYmA,@youdianyisi2020,
01sH6tk22so,False,True,1,Gaming,751,502,20200710,UCGYTQlK00ugc-QF6OelolPw,@user-ul5bi4rv3g,
03dL5B5p6sc,False,True,1,Music,1504,148,20210826,UCLHSemdIeKej7Q-rkxIexmQ,@FM-eb3tj,
0_3XFA-FVu8,False,True,1,News & Politics,811,14184,20220528,UCs7elJEjfHfLUEZ7HUbUlUw,@wallsttv,
03_XSxCCEMo,False,True,1,Entertainment,670,3,20230606,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
04aaUMeQfCs,False,True,1,Film & Animation,1033,2,20230312,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
04m9U-EfYeE,False,True,1,People & Blogs,600,3968,20210411,UC9sbL5DlKxPQ1d8h0xls6xw,@user-zk8pg1pr6d,
04Mzc0I_g-0,False,True,1,Sports,77,15,20220509,UCcZUPXIBZdSH4uhtRGYq-Hg,@hbw3585,
04suQntPG5I,False,True,1,People & Blogs,946,19,20220806,UCnUnAMKSnLs3Wj8yT6A8QMg,@Tong,
04_sYEaSAJ8,False,True,1,News & Politics,55,545,20210201,UC0VvxW6DEAVxIEfWgBnuaMQ,@ShareAmerica,
04ttjwttOVk,False,True,1,Education,484,781,20221202,UCI14ivBbRb9DP7m7-X7PxOQ,@WalkLife,
0_4-u9C_4Ek,False,True,1,Entertainment,747,2,20230823,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
05CtHDsAblY,False,True,1,Howto & Style,437,2095,20200802,UCslGEqrrPyxSiwLi4bvkVpQ,@jandosi,
05dcBwNjsVc,False,True,1,Entertainment,702,4,20230513,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
05EGzVkJnTY,False,True,1,Gaming,392,1885,20211104,UC7MVz0Vv06BGpGOA-5wGePA,@heymia8627,
05H8_QXmp2k,False,True,1,Entertainment,1118,0,20231108,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
