WORD,FAM,CONC,IMAG,MEANC,MEANP,AOA
a,6.32,2.01,2.17,2.6,,
abandon,5.1,,3.95,,,
abandonment,3.59,2.72,3.48,,,5.44
abasement,2.26,2.75,2.62,2.3,2.8,
abatement,2.94,2.5,1.89,,,6.44
abbess,1.87,4.01,3.18,2.18,2.48,
abdication,2.84,2.75,3.26,2.77,4.72,
abdomen,4.26,5.86,5.48,,4.75,5.56
abduction,4.13,3.37,4.63,3.9,4.8,
aberration,2.08,3.3,2.85,,2.64,
abhor,3.6,3.2,3.35,3.27,,
ability,5.63,2.73,3.27,,5.6,4.53
able,5.75,3.02,2.84,3.55,,
abode,3.34,4.98,4.58,4.19,6.64,5.53
abominable,3.58,,3.87,,,
aboriginal,2.95,3.35,3.89,2.9,,
about,5.93,2.27,2.25,3,,
above,6.07,,3.46,,,
abridgement,3.03,2.85,2.4,,,6.44
abrupt,4.86,2.66,3.62,4.39,,
abscess,3.92,5.38,4.91,,,5.33
absolute,4.95,,2.68,,,
absolution,3.72,2.41,2.56,,,6.08
abstraction,3.68,,,,,
abstruse,1.36,,2.25,,,
abundance,4.48,2.67,3.86,,,5.19
abundant,5.24,3.51,4.43,4.95,,
abuse,4.5,,,,,
abyss,2.93,4.5,4.53,3.23,5.88,5.97
academy,5.09,4.99,5.04,4.21,,
acceleration,4.99,3.58,4.86,,,5.36
acceptable,5.21,,2.88,,,
accident,5.64,4.19,5.18,,,3.29
accommodation,5.33,4.64,4.66,,,5.36
accomplice,4.46,3.95,3.91,3.45,,
accord,4.18,2.99,2.48,3.07,,
accordance,4.31,2.7,2.37,,,5.44
accordion,3.94,5.86,5.76,3.52,5.89,
account,5.23,3.65,3.61,3.92,,
accumulation,4.51,2.85,3.54,,,5.39
accurate,5.66,,3.05,,,
accuser,3.63,4.24,3.43,,,5.11
ache,5.23,4.43,4.43,4.84,,
acidity,3.99,3.84,4.32,,,6.22
acknowledge,5.03,2.9,3.16,4.26,,
acorn,3.97,,,,,
acre,4.27,4.62,4.64,,,4.11
acrobat,4.31,5.66,5.83,4.2,5.67,
act,5.66,3.79,4.33,4.31,,3.19
active,5.52,,4.36,,,
actual,5.89,,2.59,,,
actuality,3.61,2.47,2.13,,,5.86
acumen,1.49,2.72,2.29,2.1,,
adage,1.6,3.73,3.24,,3,
adam,3.72,,4.88,,,
adder,3.61,6.15,5.83,,,3.56
addition,5.35,3.39,3.47,4.05,,3.14
additional,4.89,,3.03,,,
adequate,4.85,,2.68,,,
adherence,3.75,2.65,3.26,,,6.03
adjective,5.15,3.16,3.94,3.92,,
adjournment,3.27,3.11,3.05,,,6.06
administration,5.02,3.31,4.13,,,5.61
admiral,4.36,5.28,5.43,3.81,6.11,
admire,5.31,2.96,3.9,4.57,,
admission,4.82,3.05,3.89,,,4.58
admonish,3.41,2.69,3.02,2.92,,
adolescence,4.44,2.67,4.67,,,5.97
adorn,4.41,3.39,3.7,3.55,,
adult,5.9,4.92,5.26,5.43,,
adultery,4.56,3.11,4.94,,,5.83
advanced,5.23,,3.2,,,
advantage,5.62,2.82,2.92,,4.48,
adventurer,4.02,4.62,4.97,,,4.06
adverb,4.73,3.52,3.15,3.22,,
adversity,3.6,3.14,3.26,,5.06,
advice,5.66,2.91,3.52,,5.39,4.25
adze,1.38,2.83,2.56,1.64,,
aerial,4.81,5.17,5.67,,,4.28
affable,2.66,,3.15,,,
affair,5.31,,3.61,,,
affection,5.13,2.8,4.84,,6.36,4.67
affectionate,5.07,,4.71,,,
affirm,4.44,,2.81,,,
affirmation,3.32,2.42,3.13,,,5.83
affright,2.19,2.29,2.32,,,6.56
afraid,5.75,3.36,4.51,5.07,,
after,5.75,2.42,2.17,3.02,,
afternoon,6.55,4.06,5.13,,,2.81
against,6,,2.85,,,
age,5.82,3.9,4.68,4.28,,2.58
agency,4.2,4.26,3.66,,,5.53
aggress,3.51,2.71,2.7,2.44,,
aggressive,5,,4.17,,,
aggressor,3.59,4.39,3.83,,,5.89
agile,4.32,3.56,4.54,4.36,,
agility,3.97,3.27,4.64,,5.75,
agony,5.09,3.48,4.91,4.85,6.06,4.61
agreement,5.41,3.27,3.67,,4.48,
ague,1.96,3.65,2.24,,,6.61
ah,5.19,2.53,3.3,3.22,,
aid,5.36,3.72,4.13,4.33,,
ail,3.7,3.85,3.91,3.02,,
aim,5.49,3.24,3.83,3.83,,3.44
air,6.08,5.18,4.5,4.97,6.36,
airship,3.32,5.85,5.45,,,4.06
