	English
frequency	0.5725103372402307
range	0.6189569754916047
sort_gini	0.5862125337412425
juilland_d	0.5868821909253774
gries_dp	0.5765703402974778
rosengren_s	0.5951317408421767
s2	0.6121418481840712
carrol_d2	0.6014907284566277
lyne_d3	0.5701543058974534
range_videos	0.5816896028324221
sort_gini_videos	0.5828407199519072
juilland_d_videos	0.5805569698317159
gries_dp_videos	0.5662467687426116
rosengren_s_videos	0.5708307442427636
s2_videos	0.5822881051723535
carrol_d2_videos	0.5853206678620169
lyne_d3_videos	0.5696280831535422
log_frequency	0.5639025903273378
log_range	0.6035668069358264
log_sort_gini	0.5977372802673819
log_juilland_d	0.5848284492523104
log_gries_dp	0.5788528947563301
log_rosengren_s	0.5890331086581547
log_s2	0.6090447075877448
log_carrol_d2	0.5909285906871202
log_lyne_d3	0.567542549696431
log_range_videos	0.6186175404481431
log_sort_gini_videos	0.5925114490820504
log_juilland_d_videos	0.569632960359939
log_gries_dp_videos	0.6163220854024946
log_rosengren_s_videos	0.612801338479871
log_s2_videos	0.6046123589283554
log_carrol_d2_videos	0.573724537796896
log_lyne_d3_videos	0.5666612009615686
