	English
frequency	0.2726401314532132
range	0.7989775643595601
sort_gini	0.7430639746485979
juilland_d	0.6555912421551708
gries_dp	0.597153217899709
rosengren_s	0.6740702808346398
s2	0.7894314334607252
carrol_d2	0.7075971290149484
lyne_d3	0.3668447848177419
range_videos	0.8727786324040311
sort_gini_videos	0.8048957440655263
juilland_d_videos	0.7590942208026993
gries_dp_videos	0.9074641333388996
rosengren_s_videos	0.8737470083133427
s2_videos	0.841052659676364
carrol_d2_videos	0.939165367575799
lyne_d3_videos	0.3448094444762506
log_frequency	1.0
log_range	0.7168352218724676
log_sort_gini	0.726939637889985
log_juilland_d	0.5819833410695171
log_gries_dp	0.5580455945432929
log_rosengren_s	0.6032156839880848
log_s2	0.7366997108075362
log_carrol_d2	0.6113834985982279
log_lyne_d3	0.2919016038404906
log_range_videos	0.9645744515277944
log_sort_gini_videos	0.9488594117707698
log_juilland_d_videos	0.4274768062578109
log_gries_dp_videos	0.9276342367175195
log_rosengren_s_videos	0.9366607162518245
log_s2_videos	0.9579446666820336
log_carrol_d2_videos	0.6267438986759085
log_lyne_d3_videos	0.2556698799429865
