	English
frequency	4923
range	4923
sort_gini	4923
juilland_d	4923
gries_dp	4923
rosengren_s	4923
s2	4923
carrol_d2	4923
lyne_d3	4923
range_videos	4923
sort_gini_videos	4923
juilland_d_videos	4923
gries_dp_videos	4923
rosengren_s_videos	4923
s2_videos	4923
carrol_d2_videos	4923
lyne_d3_videos	4923
log_frequency	4923
log_range	4923
log_sort_gini	4923
log_juilland_d	4923
log_gries_dp	4923
log_rosengren_s	4923
log_s2	4923
log_carrol_d2	4923
log_lyne_d3	4923
log_range_videos	4923
log_sort_gini_videos	4923
log_juilland_d_videos	4923
log_gries_dp_videos	4923
log_rosengren_s_videos	4923
log_s2_videos	4923
log_carrol_d2_videos	4923
log_lyne_d3_videos	4923
