	English
frequency	0
range	0
sort_gini	0
juilland_d	0
gries_dp	0
rosengren_s	0
s2	0
carrol_d2	0
lyne_d3	0
range_videos	0
sort_gini_videos	0
juilland_d_videos	0
gries_dp_videos	0
rosengren_s_videos	0
s2_videos	0
carrol_d2_videos	0
lyne_d3_videos	0
log_frequency	0
log_range	0
log_sort_gini	0
log_juilland_d	0
log_gries_dp	0
log_rosengren_s	0
log_s2	0
log_carrol_d2	0
log_lyne_d3	0
log_range_videos	0
log_sort_gini_videos	0
log_juilland_d_videos	0
log_gries_dp_videos	0
log_rosengren_s_videos	0
log_s2_videos	0
log_carrol_d2_videos	0
log_lyne_d3_videos	0
