	English
frequency	0.000000
range	0.047209
sort_gini	0.000000
juilland_d	0.000000
gries_dp	0.000000
rosengren_s	0.000000
s2	0.000021
carrol_d2	0.000000
lyne_d3	0.000000
range_videos	0.000000
sort_gini_videos	0.000000
juilland_d_videos	0.000000
gries_dp_videos	0.000000
rosengren_s_videos	0.000000
s2_videos	0.000000
carrol_d2_videos	0.277558
lyne_d3_videos	0.000000
log_frequency	
log_range	0.000000
log_sort_gini	0.000000
log_juilland_d	0.000000
log_gries_dp	0.000000
log_rosengren_s	0.000000
log_s2	0.000000
log_carrol_d2	0.000000
log_lyne_d3	0.000000
log_range_videos	0.000000
log_sort_gini_videos	0.000001
log_juilland_d_videos	0.000000
log_gries_dp_videos	0.000000
log_rosengren_s_videos	0.000000
log_s2_videos	0.000000
log_carrol_d2_videos	0.000000
log_lyne_d3_videos	0.000000
