	English
frequency	0.1483383346705765
range	0.8965105532656704
sort_gini	0.7709446055449151
juilland_d	0.7020898091202763
gries_dp	0.6678002095885894
rosengren_s	0.7552265354904204
s2	0.8414468222351923
carrol_d2	0.764946460307829
lyne_d3	0.4897833094675276
range_videos	0.7498291880817672
sort_gini_videos	0.6959640632548939
juilland_d_videos	0.8146997924726844
gries_dp_videos	0.8252938759925426
rosengren_s_videos	0.7745517168374374
s2_videos	0.7242093134849699
carrol_d2_videos	0.9483895001123944
lyne_d3_videos	0.4994871103843392
log_frequency	1.0
log_range	0.8358910408265086
log_sort_gini	0.7705424400268005
log_juilland_d	0.6495273247710455
log_gries_dp	0.6459684196698866
log_rosengren_s	0.7082541235570967
log_s2	0.8096017614599885
log_carrol_d2	0.6930702531813953
log_lyne_d3	0.4255321502329162
log_range_videos	0.9795658093974414
log_sort_gini_videos	0.9566313346831624
log_juilland_d_videos	0.562386766354163
log_gries_dp_videos	0.9594805058893832
log_rosengren_s_videos	0.9569041603476404
log_s2_videos	0.9698059698511204
log_carrol_d2_videos	0.6730823952731281
log_lyne_d3_videos	0.3980322762611934
