	English
frequency	-0.0565374378190536
range	-0.5586489857026479
sort_gini	-0.4960403198636579
juilland_d	-0.4394444429112479
gries_dp	-0.4249792116886841
rosengren_s	-0.4857941656391258
s2	-0.5394928656466614
carrol_d2	-0.4816138807056132
lyne_d3	-0.2726422428239633
range_videos	-0.4240828995328516
sort_gini_videos	-0.3871777369950246
juilland_d_videos	-0.4654170866361709
gries_dp_videos	-0.4883788349034271
rosengren_s_videos	-0.4503687087277067
s2_videos	-0.4063819676774285
carrol_d2_videos	-0.5570121408338445
lyne_d3_videos	-0.2675646813931565
log_frequency	-0.5730216598925435
log_range	-0.4995286521540148
log_sort_gini	-0.482103011318067
log_juilland_d	-0.3898371779126269
log_gries_dp	-0.3947733700668837
log_rosengren_s	-0.436031232511865
log_s2	-0.4984604029488551
log_carrol_d2	-0.4156556258589879
log_lyne_d3	-0.2271846356354143
log_range_videos	-0.5784498396068902
log_sort_gini_videos	-0.5650161552469032
log_juilland_d_videos	-0.3002884111182912
log_gries_dp_videos	-0.568336265030101
log_rosengren_s_videos	-0.5679082773596779
log_s2_videos	-0.5724917475107386
log_carrol_d2_videos	-0.3692399736527174
log_lyne_d3_videos	-0.2068313292047282
