	English
frequency	38130
range	38130
sort_gini	38130
juilland_d	38130
gries_dp	38130
rosengren_s	38130
s2	38130
carrol_d2	38130
lyne_d3	38130
range_videos	38130
sort_gini_videos	38130
juilland_d_videos	38130
gries_dp_videos	38130
rosengren_s_videos	38130
s2_videos	38130
carrol_d2_videos	38130
lyne_d3_videos	38130
log_frequency	38130
log_range	38130
log_sort_gini	38130
log_juilland_d	38130
log_gries_dp	38130
log_rosengren_s	38130
log_s2	38130
log_carrol_d2	38130
log_lyne_d3	38130
log_range_videos	38130
log_sort_gini_videos	38130
log_juilland_d_videos	38130
log_gries_dp_videos	38130
log_rosengren_s_videos	38130
log_s2_videos	38130
log_carrol_d2_videos	38130
log_lyne_d3_videos	38130
