	English
frequency	0.6515379501157422
range	0.8781375690472619
sort_gini	0.7622885996918282
juilland_d	0.7404664247166336
gries_dp	0.7163684812129504
rosengren_s	0.7714019244178112
s2	0.8318166579164725
carrol_d2	0.7828296351799295
lyne_d3	0.5778935173227023
range_videos	0.8027963112085627
sort_gini_videos	0.7505815827430335
juilland_d_videos	0.8373514365679701
gries_dp_videos	0.8408937179973957
rosengren_s_videos	0.7961830476290542
s2_videos	0.7748305476991774
carrol_d2_videos	0.9476387663792796
lyne_d3_videos	0.5532782720680279
log_frequency	1.0
log_range	0.8172348648582326
log_sort_gini	0.7933502449014951
log_juilland_d	0.7166659296434623
log_gries_dp	0.7161019924310843
log_rosengren_s	0.7461030165863952
log_s2	0.817657914565418
log_carrol_d2	0.7399200424397868
log_lyne_d3	0.5107761070639282
log_range_videos	0.9786972347312812
log_sort_gini_videos	0.9558404123157598
log_juilland_d_videos	0.6162902167239019
log_gries_dp_videos	0.960249061861792
log_rosengren_s_videos	0.960259906627528
log_s2_videos	0.9684531491508604
log_carrol_d2_videos	0.7190283091109001
log_lyne_d3_videos	0.4766344248080652
