	English
frequency	-0.4040887579631195
range	-0.7172031915945465
sort_gini	-0.6142957294150071
juilland_d	-0.5959960199468526
gries_dp	-0.5743918314128212
rosengren_s	-0.6364096850364974
s2	-0.6847521904441276
carrol_d2	-0.6377019961189575
lyne_d3	-0.4108509468813109
range_videos	-0.5595766933994961
sort_gini_videos	-0.5205083971826007
juilland_d_videos	-0.6663785835203855
gries_dp_videos	-0.6115088301609903
rosengren_s_videos	-0.5652461928845275
s2_videos	-0.5389517221652517
carrol_d2_videos	-0.7267761944231911
lyne_d3_videos	-0.3822810252781688
log_frequency	-0.7186173792014081
log_range	-0.6389220751579644
log_sort_gini	-0.6310164211131823
log_juilland_d	-0.5534852422957884
log_gries_dp	-0.5631254474792237
log_rosengren_s	-0.5971108214796875
log_s2	-0.652926968795213
log_carrol_d2	-0.5732841860626002
log_lyne_d3	-0.3459716296247565
log_range_videos	-0.7372136298264718
log_sort_gini_videos	-0.7288778891123616
log_juilland_d_videos	-0.4472789780683887
log_gries_dp_videos	-0.7208659345158522
log_rosengren_s_videos	-0.7229021477055787
log_s2_videos	-0.73512279702789
log_carrol_d2_videos	-0.5268181779582782
log_lyne_d3_videos	-0.3136656508186998
