	English
frequency	570
range	570
sort_gini	570
juilland_d	570
gries_dp	570
rosengren_s	570
s2	570
carrol_d2	570
lyne_d3	570
range_videos	570
sort_gini_videos	570
juilland_d_videos	570
gries_dp_videos	570
rosengren_s_videos	570
s2_videos	570
carrol_d2_videos	570
lyne_d3_videos	570
log_frequency	570
log_range	570
log_sort_gini	570
log_juilland_d	570
log_gries_dp	570
log_rosengren_s	570
log_s2	570
log_carrol_d2	570
log_lyne_d3	570
log_range_videos	570
log_sort_gini_videos	570
log_juilland_d_videos	570
log_gries_dp_videos	570
log_rosengren_s_videos	570
log_s2_videos	570
log_carrol_d2_videos	570
log_lyne_d3_videos	570
