	English
frequency	0.000000
range	0.919329
sort_gini	0.000000
juilland_d	0.000000
gries_dp	0.000000
rosengren_s	0.000030
s2	0.041436
carrol_d2	0.000026
lyne_d3	0.000000
range_videos	0.000000
sort_gini_videos	0.000000
juilland_d_videos	0.001601
gries_dp_videos	0.000000
rosengren_s_videos	0.000000
s2_videos	0.000000
carrol_d2_videos	0.378202
lyne_d3_videos	0.000000
log_frequency	
log_range	0.000007
log_sort_gini	0.000003
log_juilland_d	0.000000
log_gries_dp	0.000000
log_rosengren_s	0.000000
log_s2	0.000189
log_carrol_d2	0.000000
log_lyne_d3	0.000000
log_range_videos	0.001577
log_sort_gini_videos	0.227686
log_juilland_d_videos	0.000000
log_gries_dp_videos	0.782256
log_rosengren_s_videos	0.597766
log_s2_videos	0.021275
log_carrol_d2_videos	0.000000
log_lyne_d3_videos	0.000000
