	English	Japanese	Spanish
	(Glasgow)	(Amano+Kondo)	(Moreno-Martínez)
BNC-Spoken	4682.0		
CREA-Spoken			820.0
CSJ		76883.0	
ACTIV-ES			820.0
EsPal			820.0
LaboroTV1+2		76883.0	
OpenSubtitles	4682.0		820.0
SubIMDB	4682.0		
SUBTLEX	4682.0		820.0
SUBTLEX-UK	4682.0		
GINI	4682.0	76883.0	
Wikipedia	4682.0		820.0
wordfreq	4682.0		820.0
TUBELEX\textsubscript{default}	4682.0		820.0
TUBELEX\textsubscript{regex}	4682.0		820.0
TUBELEX\textsubscript{base}		76883.0	
TUBELEX\textsubscript{lemma}	4682.0		820.0
TUBELEX_entertainment	4682.0		820.0
TUBELEX_entertainment_L	4682.0		820.0
TUBELEX_entertainment_B		76883.0	
TUBELEX_entertainment_R	4682.0		820.0
TUBELEX_comedy	4682.0		820.0
TUBELEX_comedy_L	4682.0		820.0
TUBELEX_comedy_B		76883.0	
TUBELEX_comedy_R	4682.0		820.0
