	Chinese	English	Indonesian	Japanese	Spanish
BNC-Spoken		0.7077767485287192			
CREA-Spoken					0.4972386933856473
CSJ				0.311609650791786	
HKUST/MTS	0.325839721327994				
ACTIV-ES					0.4968464744397768
EsPal					0.551469579585314
LaboroTV1+2				0.4319029795439519	
OpenSubtitles	0.4336999224186061	0.7699023796933199	0.5753720361607817	0.4084518575747702	0.5528749540746718
SubIMDB		0.7682574732062584			
SUBTLEX	0.4844482008891707	0.7511737825979705			0.5449527898396657
SUBTLEX-UK		0.7572210691769395			
GINI		0.6583175770209299		0.557220178087754	
Wikipedia	0.3191868198481541	0.661240249692624	0.4657316655051307	0.4291346369374361	0.3294433124925001
wordfreq	0.2415564165976742	0.7627724060951707	0.5801858554820709	0.4418886744238028	0.4951463839076788
TUBELEX\textsubscript{default}	0.482784265901746	0.7635474430934182	0.6220662246708978	0.5759266276823064	0.5466553285034869
TUBELEX\textsubscript{regex}		0.7639487998956072	0.6137101789797711		0.545229428031219
TUBELEX\textsubscript{base}				0.5944221361256706	
TUBELEX\textsubscript{lemma}		0.7608466121267476	0.6168535735184656	0.6006512999059136	0.5505600327705797
TUBELEX_entertainment	0.3831656355780446	0.7367055703848657	0.5835175450445175	0.482006898577836	0.5302260046350242
TUBELEX_entertainment_L		0.7361856966544185	0.5805687035612981	0.4977735077211492	0.5387590168230441
TUBELEX_entertainment_B				0.4993334443845139	
TUBELEX_entertainment_R		0.7369196681658478	0.5732395032273077		0.5282488848466121
TUBELEX_comedy	-0.0235286125017865	0.6524302301790009	0.2656609730397454	0.2197843439140103	0.4879036053250775
TUBELEX_comedy_L		0.6481762313371475	0.2929577235027285	0.2011864465268759	0.5019632783916886
TUBELEX_comedy_B				0.2249546977787943	
TUBELEX_comedy_R		0.6528725538026156	0.2344949530547874		0.483573481135639
