,Chinese,English,Indonesian,Japanese,Spanish
BNC-Spoken,,0.9177330895795247,,,
CREA-Spoken,,,,,0.9571428571428572
CSJ,,,,0.5832830899090696,
HKUST/MTS,0.4644193216855087,,,,
ACTIV-ES,,,,,0.9492857142857143
EsPal,,,,,0.9757142857142858
LaboroTV1+2,,,,0.8409395725412508,
OpenSubtitles,0.9919424460431655,0.9971562055657119,0.9953020134228188,0.3380664689741728,1.0
SUBTLEX,0.9167934224049332,0.9819215925248832,,,0.9857142857142858
SUBTLEX-UK,,0.9859841560024375,,,
GINI,,0.9394678041844404,,0.709490470155406,
Wikipedia,0.9857348406988695,0.9991874873044891,0.9919463087248322,0.9278955593015958,1.0
wordfreq,0.9998766700924975,0.9957343083485679,0.9328859060402684,0.8821719924696386,1.0
TUBELEX\textsubscript{default},0.9738951695786228,0.9924842575665245,0.9932885906040269,0.9074577647623383,1.0
