	Chinese	English	Spanish
wordfreq	-0.4238	-0.6268	-0.7879
Wikipedia	-0.4238	-0.5396	-0.7046
Wikipedia_R		-0.5396	-0.7046
SUBTLEX	-0.5874	-0.6331	-0.7632
SUBTLEX-UK		-0.6249	
SUBTLEX_R		-0.6331	-0.7632
SubIMDB		-0.646	
OpenSubtitles	-0.5679	-0.6466	-0.8113
GINI		-0.4204	
LaboroTV1+2			
ACTIV-ES			-0.5997
Alonso+2011			-0.6448
EsPal			-0.8069
TUBELEX\textsubscript{default}	-0.5746	-0.6274	-0.8086
TUBELEX\textsubscript{regex}		-0.6274	-0.8114
TUBELEX\textsubscript{lemma}		-0.6238	-0.8079
TUBELEX_entertainment	-0.4984	-0.6335	-0.7881
TUBELEX_entertainment_L		-0.6332	-0.7942
TUBELEX_entertainment_R		-0.6337	-0.791
TUBELEX_comedy	-0.1706	-0.5217	-0.5634
TUBELEX_comedy_L		-0.5535	-0.5848
TUBELEX_comedy_R		-0.5223	-0.5663
