	Chinese	English	Spanish
BNC-Spoken		38130.0	
CREA-Spoken			45190.0
HKUST/MTS	12576.0		
ACTIV-ES			45190.0
EsPal			45190.0
LaboroTV1+2			
OpenSubtitles	12576	38130	45190
SubIMDB		38130.0	
SUBTLEX	12576	38130	45190
SUBTLEX-UK		38130.0	
SUBTLEX_R		38130.0	45190.0
GINI		38130.0	
Wikipedia	12576	38130	45190
Wikipedia_R		38130.0	45190.0
wordfreq	12576	38130	45190
TUBELEX\textsubscript{default}	12576	38130	45190
TUBELEX\textsubscript{regex}		38130.0	45190.0
TUBELEX\textsubscript{lemma}		38130.0	45190.0
TUBELEX_entertainment	12576	38130	45190
TUBELEX_entertainment_L		38130.0	45190.0
TUBELEX_entertainment_R		38130.0	45190.0
TUBELEX_comedy	12576	38130	45190
TUBELEX_comedy_L		38130.0	45190.0
TUBELEX_comedy_R		38130.0	45190.0
