	Indonesian	Japanese	Chinese	English	Spanish
frequency	0.2992973251003054	0.0599201216394036	0.0954057220313881	0.1391049215891941	0.2854131838237459
range	0.63430423843201	0.6500768210966558	0.5226545206536617	0.7453020255741017	0.4735827249929727
sort_gini	0.5622574561488377	0.6360116046957376	0.4597768733819396	0.6920701067220811	0.3941774917181939
juilland_d	0.5013419581423332	0.6089741033790214	0.4537722324216184	0.6284594700793813	0.2935992442519506
gries_dp	0.5029057890521722	0.6214902562611341	0.4408188446139699	0.6595947085387557	0.3323973440221404
rosengren_s	0.6194850600156088	0.6545506571963293	0.4992613971932777	0.7473505863829686	0.4471442933521262
carrol_d2	0.557804334461953	0.6312528923126184	0.4889896518007019	0.6869252488553289	0.3647657299071913
lyne_d3	0.2340198706975559	0.4056537831076124	0.3029122675971287	0.3806859332127781	0.2220432281352753
range_channels	0.4065579911101457	0.2701889658035555	0.2444998861465214	0.3849617600989906	0.3834607853398031
sort_gini_channels	0.3517540303306678	0.2024604511564334	0.1894534709360954	0.3093224110187312	0.3259898557929869
juilland_d_channels	0.5895847750055573	0.6364334962595144	0.45286155887579	0.7598280245254154	0.4934249377170943
gries_dp_channels	0.5689209929316148	0.4877417764069391	0.4296182636908881	0.5593142159015677	0.479561586525573
rosengren_s_channels	0.3735564004412835	0.2289350538365599	0.2096670914376821	0.3420403785616659	0.347174224523108
carrol_d2_channels	0.6512137764223228	0.6337380631676637	0.4592805513719249	0.7741851538860751	0.5405751658662029
lyne_d3_channels	0.2362789448115543	0.4152695020465498	0.3108669375938633	0.3812225258382574	0.2923603797621747
range_videos	0.3690321235166818	0.2051819463904277	0.2066125814093213	0.3519633844143535	0.335160909472459
sort_gini_videos	0.3336724754539228	0.1764566169564532	0.1929880769249073	0.2943054386205596	0.3073835840006938
juilland_d_videos	0.5813691133422575	0.6278089904946941	0.4582667126083439	0.7550871400263252	0.4700560845545964
gries_dp_videos	0.47437493808542	0.2925245279599186	0.311924343215102	0.4716594012579294	0.3889175266795022
rosengren_s_videos	0.3485232077642005	0.1898530133160038	0.1979421956561977	0.3209784799635903	0.3189505932314211
carrol_d2_videos	0.6544798894240291	0.6429261803753521	0.4943423670348685	0.7786747744816135	0.540213969201997
lyne_d3_videos	0.2230240132347619	0.4026050758438357	0.3003877902904253	0.3753073096220217	0.2459961090842254
log_frequency	0.6245288110986235	0.6236583919368472	0.5062709665877582	0.7767188186484066	0.5466700434910212
log_range	0.5682079066482044	0.6078890668808753	0.5203120954788688	0.686356307503805	0.4416544347228049
log_sort_gini	0.2043186113596939	0.3583504919170527	0.2460871935864608	0.3586697576662079	0.3921238555625901
log_juilland_d	0.4958665640074926	0.2257895622651487	0.4150228495856137	0.2477170989055841	0.1218367208349568
log_gries_dp	0.3522003422190305	0.3951643298726537	0.2426378559236269	0.4571691138385705	0.2048664869318974
log_rosengren_s	0.5163621157653994	0.2866674488397507	0.4812204368305228	0.3141558067630138	0.1580070184456877
log_carrol_d2	0.5005385994457218	0.2256540536645338	0.4525881230048	0.2537823770234482	0.1302315208289961
log_lyne_d3	0.11636047482992	0.3248568569394832	0.2049360559434556	0.2709725150223085	0.2175488036280422
log_range_channels	0.6665401609180718	0.6519907186019869	0.5150173513912409	0.802376802862476	0.5576689895809895
log_sort_gini_channels	0.4504929377128687	0.4399829021750455	0.2967170673354286	0.6740888118249189	0.5459634777492729
log_juilland_d_channels	0.3067112863608778	0.1562487598194642	0.1324387594529876	0.275210881173381	0.3024829882047748
log_gries_dp_channels	0.442849581450348	0.3532704955478014	0.3754068149298522	0.4366325006833781	0.4080015467053302
log_rosengren_s_channels	0.3523394111455625	0.200722188369966	0.1783982960065076	0.3192985141431479	0.3344223419823799
log_carrol_d2_channels	0.3312385071744868	0.1763761363409122	0.1538728302280621	0.2968029936142434	0.3167292995505134
log_lyne_d3_channels	0.1164247584046134	0.3252042668726758	0.2052089612619729	0.2709931227670153	0.2810198552642194
log_range_videos	0.6601057173476986	0.6428144444903877	0.5202172839163186	0.7980883007658979	0.551067538031303
log_sort_gini_videos	0.4638924377026006	0.4564787981583037	0.3296272227439058	0.6807117830766488	0.5426194665277503
log_juilland_d_videos	0.2630406913398217	0.1549878854166367	0.1507268357349407	0.2686667690813761	0.2808542359854459
log_gries_dp_videos	0.2066085897021311	0.1674891031222978	0.1075809122148215	0.3571355448037357	0.2344173716066175
log_rosengren_s_videos	0.3096912411420114	0.1712361339311592	0.1762992045524868	0.3004983960118503	0.292574983054392
log_carrol_d2_videos	0.2944653033422355	0.1650520360229715	0.1665202570744447	0.2854921177771081	0.2868999995906141
log_lyne_d3_videos	0.1159986690677521	0.3248003921983701	0.204875927725927	0.2708010236583714	0.2350585277280436
