	Chinese	English	Indonesian	Japanese	Spanish
frequency	24325	4923	1490	81271	1400
range	24325	4923	1490	81271	1400
sort_gini	24325	4923	1490	81271	1400
juilland_d	24325	4923	1490	81271	1400
gries_dp	24325	4923	1490	81271	1400
rosengren_s	24325	4923	1490	81271	1400
rosengren_sx	24325	4923	1490	81271	1400
carrol_d2	24325	4923	1490	81271	1400
lyne_d3	24325	4923	1490	81271	1400
range_channels	24325	4923	1490	81271	1400
sort_gini_channels	24325	4923	1490	81271	1400
juilland_d_channels	24325	4923	1490	81271	1400
gries_dp_channels	24325	4923	1490	81271	1400
rosengren_s_channels	24325	4923	1490	81271	1400
rosengren_sx_channels	24325	4923	1490	81271	1400
carrol_d2_channels	24325	4923	1490	81271	1400
lyne_d3_channels	24325	4923	1490	81271	1400
range_videos	24325	4923	1490	81271	1400
sort_gini_videos	24325	4923	1490	81271	1400
juilland_d_videos	24325	4923	1490	81271	1400
gries_dp_videos	24325	4923	1490	81271	1400
rosengren_s_videos	24325	4923	1490	81271	1400
rosengren_sx_videos	24325	4923	1490	81271	1400
carrol_d2_videos	24325	4923	1490	81271	1400
lyne_d3_videos	24325	4923	1490	81271	1400
log_frequency	24325	4923	1490	81271	1400
log_range	24325	4923	1490	81271	1400
log_sort_gini	24325	4923	1490	81271	1400
log_juilland_d	24325	4923	1490	81271	1400
log_gries_dp	24325	4923	1490	81271	1400
log_rosengren_s	24325	4923	1490	81271	1400
log_rosengren_sx	24325	4923	1490	81271	1400
log_carrol_d2	24325	4923	1490	81271	1400
log_lyne_d3					
log_range_channels	24325	4923	1490	81271	1400
log_sort_gini_channels	24325	4923	1490	81271	1400
log_juilland_d_channels	24325	4923	1490	81271	1400
log_gries_dp_channels	24325	4923	1490	81271	1400
log_rosengren_s_channels	24325	4923	1490	81271	1400
log_rosengren_sx_channels	24325	4923	1490	81271	1400
log_carrol_d2_channels	24325	4923	1490	81271	1400
log_lyne_d3_channels	24325	4923	1490	81271	1400
log_range_videos	24325	4923	1490	81271	1400
log_sort_gini_videos	24325	4923	1490	81271	1400
log_juilland_d_videos	24325	4923	1490	81271	1400
log_gries_dp_videos	24325	4923	1490	81271	1400
log_rosengren_s_videos	24325	4923	1490	81271	1400
log_rosengren_sx_videos	24325	4923	1490	81271	1400
log_carrol_d2_videos	24325	4923	1490	81271	1400
log_lyne_d3_videos	24325	4923	1490	81271	1400
