	Chinese	English	Indonesian	Japanese	Spanish
frequency	0	0	0	0	0
range	0	0	0	0	0
sort_gini	0	0	0	0	0
juilland_d	0	0	0	0	0
gries_dp	0	0	0	0	0
rosengren_s	0	0	0	0	0
rosengren_sx	0	0	0	0	0
carrol_d2	0	0	0	0	0
lyne_d3	0	0	0	0	0
range_channels	0	0	0	0	0
sort_gini_channels	0	0	0	0	0
juilland_d_channels	0	0	0	0	0
gries_dp_channels	0	0	0	0	0
rosengren_s_channels	0	0	0	0	0
rosengren_sx_channels	0	0	0	0	0
carrol_d2_channels	0	0	0	0	0
lyne_d3_channels	0	0	0	0	0
range_videos	0	0	0	0	0
sort_gini_videos	0	0	0	0	0
juilland_d_videos	0	0	0	0	0
gries_dp_videos	0	0	0	0	0
rosengren_s_videos	0	0	0	0	0
rosengren_sx_videos	0	0	0	0	0
carrol_d2_videos	0	0	0	0	0
lyne_d3_videos	0	0	0	0	0
log_frequency	0	0	0	0	0
log_range	0	0	0	0	0
log_sort_gini	0	0	0	0	0
log_juilland_d	0	0	0	0	0
log_gries_dp	0	0	0	0	0
log_rosengren_s	0	0	0	0	0
log_rosengren_sx	0	0	0	0	0
log_carrol_d2	0	0	0	0	0
log_lyne_d3					
log_range_channels	0	0	0	0	0
log_sort_gini_channels	0	0	0	0	0
log_juilland_d_channels	0	0	0	0	0
log_gries_dp_channels	0	0	0	0	0
log_rosengren_s_channels	0	0	0	0	0
log_rosengren_sx_channels	0	0	0	0	0
log_carrol_d2_channels	0	0	0	0	0
log_lyne_d3_channels	0	0	0	0	0
log_range_videos	0	0	0	0	0
log_sort_gini_videos	0	0	0	0	0
log_juilland_d_videos	0	0	0	0	0
log_gries_dp_videos	0	0	0	0	0
log_rosengren_s_videos	0	0	0	0	0
log_rosengren_sx_videos	0	0	0	0	0
log_carrol_d2_videos	0	0	0	0	0
log_lyne_d3_videos	0	0	0	0	0
