	Indonesian	Japanese	Chinese	English	Spanish
frequency	0.000000	0.000000	0.000000	0.000000	0.000000
range	0.321232	0.000000	0.000000	0.000000	0.000008
sort_gini	0.000036	0.000000	0.000000	0.000000	0.000000
juilland_d	0.000000	0.000000	0.000000	0.000000	0.000000
gries_dp	0.000000	0.172062	0.000000	0.000000	0.000000
rosengren_s	0.000012	0.000000	0.000000	0.000000	0.000000
s2	0.680519	0.000000	0.017235	0.000000	0.000000
carrol_d2	0.000012	0.000000	0.000001	0.000000	0.000000
lyne_d3	0.000000	0.000000	0.000000	0.000000	0.000000
range_channels	0.000000	0.000000	0.000000	0.000000	0.000000
sort_gini_channels	0.000000	0.000000	0.000000	0.000000	0.000000
juilland_d_channels	0.000845	0.000000	0.000000	0.000398	0.000018
gries_dp_channels	0.000003	0.000000	0.000000	0.000000	0.000000
rosengren_s_channels	0.000000	0.000000	0.000000	0.000000	0.000000
s2_channels	0.000000	0.000000	0.000000	0.000000	0.000000
carrol_d2_channels	0.000002	0.000000	0.000000	0.142122	0.279453
lyne_d3_channels	0.000000	0.000000	0.000000	0.000000	0.000000
range_videos	0.000000	0.000000	0.000000	0.000000	0.000000
sort_gini_videos	0.000000	0.000000	0.000000	0.000000	0.000000
juilland_d_videos	0.000061	0.000410	0.000000	0.000016	0.000000
gries_dp_videos	0.000000	0.000000	0.000000	0.000000	0.000000
rosengren_s_videos	0.000000	0.000000	0.000000	0.000000	0.000000
s2_videos	0.000000	0.000000	0.000000	0.000000	0.000000
carrol_d2_videos	0.000000	0.000000	0.000000	0.205854	0.162961
lyne_d3_videos	0.000000	0.000000	0.000000	0.000000	0.000000
log_frequency					
log_range	0.000005	0.000000	0.000000	0.000000	0.000000
log_sort_gini	0.000041	0.573784	0.000000	0.000000	0.000000
log_juilland_d	0.000000	0.000000	0.000000	0.000000	0.000000
log_gries_dp	0.000000	0.000000	0.000000	0.000000	0.000000
log_rosengren_s	0.000000	0.000000	0.000000	0.000000	0.000000
log_s2	0.002523	0.009128	0.059927	0.000000	0.000000
log_carrol_d2	0.000000	0.000000	0.000000	0.000000	0.000000
log_lyne_d3	0.000000	0.000000	0.000000	0.000000	0.000000
log_range_channels	0.000000	0.000000	0.000004	0.000000	0.005284
log_sort_gini_channels	0.000000	0.000025	0.000000	0.033076	0.679217
log_juilland_d_channels	0.000000	0.000000	0.000000	0.000000	0.000000
log_gries_dp_channels	0.000000	0.000000	0.000000	0.000000	0.000026
log_rosengren_s_channels	0.241832	0.000000	0.000000	0.000000	0.000004
log_s2_channels	0.000000	0.000000	0.000000	0.000000	0.399487
log_carrol_d2_channels	0.000000	0.000000	0.000000	0.000000	0.000000
log_lyne_d3_channels	0.000000	0.000000	0.000000	0.000000	0.000000
log_range_videos	0.000000	0.000000	0.000000	0.000000	0.174168
log_sort_gini_videos	0.000000	0.000000	0.000000	0.915106	0.286457
log_juilland_d_videos	0.000000	0.000000	0.000000	0.000000	0.000000
log_gries_dp_videos	0.000532	0.000000	0.094859	0.000000	0.000000
log_rosengren_s_videos	0.000633	0.000000	0.000339	0.000000	0.000000
log_s2_videos	0.000000	0.000000	0.107138	0.000000	0.955108
log_carrol_d2_videos	0.000000	0.000000	0.000000	0.000000	0.000000
log_lyne_d3_videos	0.000000	0.000000	0.000000	0.000000	0.000000
