	Chinese	English	Spanish
frequency	0.3386782628409509	0.3970437460212246	0.6591432845419818
range	0.3492410072824292	0.4181250626964922	0.6755596076826733
sort_gini	0.3356437232268291	0.4019195620936445	0.6651738812239076
juilland_d	0.3494881771568003	0.3977051386758906	0.6632709115568396
gries_dp	0.3519238453515525	0.3966943700231277	0.6636224270579554
rosengren_s	0.3418666479432753	0.4117212850489781	0.6720028258837832
rosengren_sx	0.3574102033865898	0.3998557335854295	0.6661891114097243
carrol_d2	0.3540610426579211	0.4019489987279873	0.6664388273547706
lyne_d3	0.3426598149668398	0.3941435723368032	0.6577798940826769
range_channels	0.3413550626301825	0.4046331348568992	0.6638266981137229
sort_gini_channels	0.3416302760472018	0.4039640010221069	0.6635063097376308
juilland_d_channels	0.3344751007532492	0.3959066205732501	0.662478745441293
gries_dp_channels	0.3409174331437988	0.4011859110039492	0.6592344637356293
rosengren_s_channels	0.3418741934633839	0.4045111529514721	0.6638186464990257
rosengren_sx_channels	0.3329988148547027	0.4035354556993066	0.6612101663570691
carrol_d2_channels	0.3301235132644783	0.3937800644631583	0.6594531111407769
lyne_d3_channels	0.3445133399079201	0.3941054478549991	0.6577844250216509
range_videos	0.3437302326993855	0.4045650683261426	0.663725466683441
sort_gini_videos	0.3438069572246701	0.4036233790344957	0.6631771810101357
juilland_d_videos	0.3378443617568802	0.3961736742441435	0.6613531029973873
gries_dp_videos	0.3437490488557617	0.4043143527962758	0.6636788374149141
rosengren_s_videos	0.3438235503577491	0.4042157700969037	0.6635018783461561
rosengren_sx_videos	0.3450289202826829	0.4051663303792947	0.6638432577133278
carrol_d2_videos	0.3304776179408254	0.394348190761965	0.6611246136722932
lyne_d3_videos	0.3394449306819286	0.3940676121589083	0.6577171967945638
log_frequency	0.3300880837146981	0.3934353400910276	0.6576081053959539
log_range	0.366893044561531	0.4037982788408548	0.6630346742093003
log_sort_gini	0.3517665799514456	0.4022046943382006	0.6635994773757496
log_juilland_d	0.3307996680034345	0.3936534680665049	0.6582062835864726
log_gries_dp	0.3406862964033834	0.3939758836767553	0.6630782120021068
log_rosengren_s	0.337685970221439	0.3936338566668861	0.6586070946121227
log_rosengren_sx	0.3552740142906735	0.3957516855568183	0.6594594926244286
log_carrol_d2	0.3338212253302718	0.3936068771181782	0.658461883015943
log_lyne_d3			
log_range_channels	0.3430863652929754	0.4057251107037118	0.6786482850064142
log_sort_gini_channels	0.330346473281801	0.3938874544926861	0.6587756542833947
log_juilland_d_channels	0.3449515172938697	0.393894779658218	0.6578899023789053
log_gries_dp_channels	0.3330090078911485	0.3936750344142724	0.6581717241854131
log_rosengren_s_channels	0.3309878408749279	0.3962950129528499	0.6639175671010121
log_rosengren_sx_channels	0.3424887330380931	0.3967851345269859	0.6626909455110966
log_carrol_d2_channels	0.3467528653895749	0.3940102654959743	0.657993586828574
log_lyne_d3_channels	0.3458811766835161	0.3942411364553376	0.6590586104630471
log_range_videos	0.3385865547453245	0.4036188445242855	0.6728922138593154
log_sort_gini_videos	0.3301381841827397	0.3944701709710559	0.6601980161144555
log_juilland_d_videos	0.3394761954126178	0.393873737802033	0.6577379048184824
log_gries_dp_videos	0.3315203757129489	0.3936260941762592	0.6577069439594639
log_rosengren_s_videos	0.3321720069725687	0.3970872679007617	0.6652057495616639
log_rosengren_sx_videos	0.33208616560004	0.3960777939490247	0.663251752828438
log_carrol_d2_videos	0.3404297476884566	0.3939896483188351	0.6578026890702265
log_lyne_d3_videos	0.3343209759307335	0.3941093181657633	0.6583512169465009
