	Chinese	English	Spanish
frequency	0.3638391844042767	0.1967399204095244	0.114114423058127
range	0.9064159270664978	0.881849192302782	0.947282282168172
sort_gini	0.8016636270422973	0.8361931340242589	0.906069113364846
juilland_d	0.7290177758417823	0.7604159572746518	0.8670774008248412
gries_dp	0.6812445146493646	0.7611095595571788	0.8700523474746714
rosengren_s	0.8611561709561952	0.8700982178619581	0.9325503465855638
rosengren_sx	0.7668767424495302	0.8059884626931919	0.8981330134827883
carrol_d2	0.7942291554195224	0.8052194887582739	0.8970759616188326
lyne_d3	0.4876931296132629	0.477611720067435	0.6755775677145698
range_channels	0.6259432643431384	0.5205437929194034	0.4796826885605417
sort_gini_channels	0.535709655488523	0.429033812043613	0.3670502491350318
juilland_d_channels	0.8425840803070566	0.882057106884256	0.9376204450888092
gries_dp_channels	0.6781729662697554	0.7321970178535718	0.7705239709115999
rosengren_s_channels	0.5710709984851193	0.468960330502559	0.4139088130649889
rosengren_sx_channels	0.7362683519742655	0.6457191895416453	0.6687856727782421
carrol_d2_channels	0.8910304719168517	0.976613772907967	0.9721445076218456
lyne_d3_channels	0.4957838638146785	0.4951607209203198	0.6910363055621642
range_videos	0.5833920804858733	0.4776887741928665	0.3854053726153403
sort_gini_videos	0.5556190777130855	0.4083304098803091	0.3284085761373951
juilland_d_videos	0.8433900944084727	0.8731211752293366	0.9288869557487304
gries_dp_videos	0.7330664803879533	0.6168140867533725	0.5215257037448632
rosengren_s_videos	0.566943868541159	0.4407300327808501	0.356109847607357
rosengren_sx_videos	0.6639658913742311	0.5489967995912955	0.4505909544654276
carrol_d2_videos	0.9520941404863148	0.981544420717678	0.984689925431402
lyne_d3_videos	0.5138367650442325	0.4929456009131256	0.6893083988304985
log_frequency	1.0	1.0	1.0
log_range	0.8711378415969944	0.817539574602014	0.9051447117881328
log_sort_gini	0.8048304701373374	0.8190019479460663	0.8960119397361486
log_juilland_d	0.7267648604586625	0.1974474111325758	0.2257318740072484
log_gries_dp	0.2806647775141683	0.439237162587088	0.4836750221677942
log_rosengren_s	0.8262877154652977	0.2801175856316449	0.2827175074071343
log_rosengren_sx	0.7025392755327179	0.7054930172894407	0.8236123439449377
log_carrol_d2	0.7738902196676584	0.2047938684014305	0.2009165192252388
log_lyne_d3			
log_range_channels	0.9433596744394032	0.9907476623974296	0.9924648514885216
log_sort_gini_channels	0.8926348712961467	0.9777147317819224	0.9755982188461004
log_juilland_d_channels	0.6878781488956965	0.5738186878866702	0.7651071373837787
log_gries_dp_channels	0.3418170524750737	0.6591098387668938	0.1133353892792307
log_rosengren_s_channels	0.9222499626019528	0.9862313185697992	0.9873010267810806
log_rosengren_sx_channels	0.6134827144412476	0.9397453071026004	0.927672248241058
log_carrol_d2_channels	0.7546375576553952	0.6653376379616192	0.8023419552467281
log_lyne_d3_channels	0.4028501192859476	0.4999209381617073	0.340329253585349
log_range_videos	0.98075851591905	0.992168153382514	0.9950358748124116
log_sort_gini_videos	0.955430656017261	0.9819746476699234	0.9863123193694268
log_juilland_d_videos	0.5783676152357754	0.5543303329054188	0.7418143870118898
log_gries_dp_videos	0.605167279158328	0.6489355663394393	-0.0161028709532396
log_rosengren_s_videos	0.9708267819098424	0.9885818846527796	0.9924859390502104
log_rosengren_sx_videos	0.9105582287870309	0.9679557550600616	0.9677857165188992
log_carrol_d2_videos	0.6729163899234606	0.6473770571591158	0.7812892329286594
log_lyne_d3_videos	0.5164823944327456	0.4976495868094736	0.3524800771834001
