	Chinese	English	Spanish
frequency	-0.1227473147035993	-0.0659530703750892	-0.0536993585189553
range	-0.5793009503283726	-0.6271100616959162	-0.8111121171282897
sort_gini	-0.5052088186634726	-0.5746359708898247	-0.7715587448477178
juilland_d	-0.5142440448484717	-0.5186668464061381	-0.7406167763119331
gries_dp	-0.4996273491154372	-0.5135681293894981	-0.7437717955897596
rosengren_s	-0.5500077638907638	-0.6122404711720798	-0.7995519079608403
rosengren_sx	-0.5467433957690216	-0.5524749361820742	-0.7690521287427939
carrol_d2	-0.5504557419806885	-0.5593596544182345	-0.7689857608289455
lyne_d3	-0.3781189080378171	-0.3200211469871187	-0.557331816429434
range_channels	-0.276909681571499	-0.2369342563788374	-0.3198404854843205
sort_gini_channels	-0.2171217054513265	-0.177250352906242	-0.2262593421675923
juilland_d_channels	-0.5198391870868361	-0.576004151910676	-0.7846037717294213
gries_dp_channels	-0.4661664886241367	-0.4000894621803588	-0.5991986709008077
rosengren_s_channels	-0.2390389890941601	-0.2019993646701879	-0.2639569481141332
rosengren_sx_channels	-0.4595839869224796	-0.329043273703794	-0.4977692794573432
carrol_d2_channels	-0.5147107390216704	-0.6155675739548903	-0.7984039088082311
lyne_d3_channels	-0.3891866904974694	-0.3300774487950123	-0.5698085523366428
range_videos	-0.2403760403503088	-0.2077388922067003	-0.2404111685830369
sort_gini_videos	-0.2218965016665044	-0.1648297442316288	-0.1958769679651792
juilland_d_videos	-0.5319498330666564	-0.5725022918257618	-0.7759195874770435
gries_dp_videos	-0.3417482813948739	-0.3055449195267806	-0.3564857849615606
rosengren_s_videos	-0.2292452219891911	-0.1840598939598216	-0.2170885987346881
rosengren_sx_videos	-0.2901380120277991	-0.2545801595511556	-0.2949500495982812
carrol_d2_videos	-0.553132787432381	-0.6210354706544566	-0.8088551913567336
lyne_d3_videos	-0.3782413695343076	-0.3279646012935241	-0.5663252375365582
log_frequency	-0.5746256436511887	-0.6274058222494792	-0.810943796129835
log_range	-0.5947745271856169	-0.5710650738636647	-0.7653171604285688
log_sort_gini	-0.5498546600819646	-0.5670515203524924	-0.7609653547872246
log_juilland_d	-0.4359393306022092	-0.1171441611982867	-0.2067503137257986
log_gries_dp	-0.2600790501483066	-0.2928512635003919	-0.4569263368724133
log_rosengren_s	-0.5238982235157482	-0.1807903688966839	-0.2594846409256321
log_rosengren_sx	-0.5166266983058903	-0.4754564501287846	-0.6922626907476339
log_carrol_d2	-0.4833895716738537	-0.1292588157012591	-0.1914444738673254
log_lyne_d3			
log_range_channels	-0.5799009566395924	-0.6365409413049714	-0.8226032546444599
log_sort_gini_channels	-0.505685393626682	-0.6169442508923099	-0.7986363368994763
log_juilland_d_channels	-0.4837549814992502	-0.3739279866252272	-0.6311407538570384
log_gries_dp_channels	-0.247203026306202	-0.4197660121875339	-0.1153576767389185
log_rosengren_s_channels	-0.5415438147068218	-0.627342096736352	-0.8132574126425252
log_rosengren_sx_channels	-0.4404563861737654	-0.6088766249566354	-0.7788930986798374
log_carrol_d2_channels	-0.5183301173618808	-0.4324417679103041	-0.6622721524534729
log_lyne_d3_channels	-0.3465008599372222	-0.3354749437886253	-0.3117177997971636
log_range_videos	-0.5815647831572265	-0.6349905453662693	-0.819218410996718
log_sort_gini_videos	-0.5511043753682044	-0.6216520000314382	-0.8082243376771276
log_juilland_d_videos	-0.4113809893937482	-0.3614017684324298	-0.6090135648264735
log_gries_dp_videos	-0.3176181871449212	-0.4037574372981619	0.0034549326248863
log_rosengren_s_videos	-0.5688071396547448	-0.6291322023738626	-0.8155107926654658
log_rosengren_sx_videos	-0.5417067244635823	-0.619785104419542	-0.8037227944145705
log_carrol_d2_videos	-0.4618939489031451	-0.4210912948132235	-0.6421396904162623
log_lyne_d3_videos	-0.3524909163980477	-0.3316821593415145	-0.3112382500126529
