	English	Spanish	Chinese
frequency	38130	45190	12576
range	38130	45190	12576
sort_gini	38130	45190	12576
juilland_d	38130	45190	12576
gries_dp	38130	45190	12576
rosengren_s	38130	45190	12576
s2	38130	45190	12576
carrol_d2	38130	45190	12576
lyne_d3	38130	45190	12576
range_channels	38130	45190	12576
sort_gini_channels	38130	45190	12576
juilland_d_channels	38130	45190	12576
gries_dp_channels	38130	45190	12576
rosengren_s_channels	38130	45190	12576
s2_channels	38130	45190	12576
carrol_d2_channels	38130	45190	12576
lyne_d3_channels	38130	45190	12576
range_videos	38130	45190	12576
sort_gini_videos	38130	45190	12576
juilland_d_videos	38130	45190	12576
gries_dp_videos	38130	45190	12576
rosengren_s_videos	38130	45190	12576
s2_videos	38130	45190	12576
carrol_d2_videos	38130	45190	12576
lyne_d3_videos	38130	45190	12576
log_frequency	38130	45190	12576
log_range	38130	45190	12576
log_sort_gini	38130	45190	12576
log_juilland_d	38130	45190	12576
log_gries_dp	38130	45190	12576
log_rosengren_s	38130	45190	12576
log_s2	38130	45190	12576
log_carrol_d2	38130	45190	12576
log_lyne_d3	38130	45190	12576
log_range_channels	38130	45190	12576
log_sort_gini_channels	38130	45190	12576
log_juilland_d_channels	38130	45190	12576
log_gries_dp_channels	38130	45190	12576
log_rosengren_s_channels	38130	45190	12576
log_s2_channels	38130	45190	12576
log_carrol_d2_channels	38130	45190	12576
log_lyne_d3_channels	38130	45190	12576
log_range_videos	38130	45190	12576
log_sort_gini_videos	38130	45190	12576
log_juilland_d_videos	38130	45190	12576
log_gries_dp_videos	38130	45190	12576
log_rosengren_s_videos	38130	45190	12576
log_s2_videos	38130	45190	12576
log_carrol_d2_videos	38130	45190	12576
log_lyne_d3_videos	38130	45190	12576
