	English	Japanese	Spanish
frequency	0.5889779907735784	0.4572107043157823	0.3635291729498323
range	0.6085443958402059	0.4356606965467919	0.3930455626857368
sort_gini	0.5958280320566689	0.4357249011872667	0.3894134155829121
juilland_d	0.5905632323372859	0.4368240294418755	0.3691166175021629
gries_dp	0.5932393798625774	0.4369202336272404	0.3741195456772492
rosengren_s	0.6094048319694851	0.4355632175803131	0.3974785557639214
rosengren_sx	0.5985330117079546	0.4368540371097416	0.3705628341629264
carrol_d2	0.5979064430509864	0.437015794964193	0.374278632194988
lyne_d3	0.5817308069804181	0.4379951558647916	0.3646826449808976
range_channels	0.5871188010892867	0.4525496905071231	0.3627860414851249
sort_gini_channels	0.5871386722766481	0.4562704307823658	0.3630728296283555
juilland_d_channels	0.5921811999125985	0.435801164126962	0.3706120446673719
gries_dp_channels	0.5818668002833367	0.4371691875515875	0.3647615416328227
rosengren_s_channels	0.58717252255875	0.4551095202782534	0.3629910518108071
rosengren_sx_channels	0.5837777917879341	0.4399771681674302	0.3623571149517354
carrol_d2_channels	0.612285396145932	0.4375933490596413	0.3914602672942665
lyne_d3_channels	0.5834763197897601	0.439230256012064	0.3656988412860582
range_videos	0.5879066237912396	0.4564442035915531	0.363232144945752
sort_gini_videos	0.587523358298917	0.4571051593593209	0.3631263290304187
juilland_d_videos	0.5890258984774621	0.435387212283969	0.3647687727992192
gries_dp_videos	0.5862792294598096	0.4508339171664596	0.362707302957754
rosengren_s_videos	0.5877043963871321	0.45687974267425	0.3631706982723329
rosengren_sx_videos	0.5864899774149595	0.4552830877194996	0.3627842342575412
carrol_d2_videos	0.6108311506538773	0.4361733281131065	0.4036021711179729
lyne_d3_videos	0.5838602548220742	0.4414174203570599	0.3664650694477667
log_frequency	0.5797759140700458	0.435470725428808	0.3621509419938272
log_range	0.5870020420477423	0.4386528487145871	0.3670764516424624
log_sort_gini	0.5927264556543503	0.4365340503709637	0.3748935978064355
log_juilland_d	0.5840864133099796	0.4384650212445669	0.3643865975404445
log_gries_dp	0.5957770970863742	0.435773647370278	0.3797637896617883
log_rosengren_s	0.587517991445712	0.4369036275075505	0.3665741775712117
log_rosengren_sx	0.581887090377851	0.4381450776221853	0.3621570756993697
log_carrol_d2	0.5861183421633993	0.4379333441717044	0.3648664744577127
log_lyne_d3			
log_range_channels	0.62706441023166	0.4378206061939721	0.4072846709316802
log_sort_gini_channels	0.6064380054984961	0.4400530106032191	0.3977682912720394
log_juilland_d_channels	0.5839693411426707	0.4371743153144242	0.3643212973872211
log_gries_dp_channels	0.6031372410305743	0.4481637707940271	0.3694904436345257
log_rosengren_s_channels	0.6170503307214782	0.4394647678679623	0.4061503536024737
log_rosengren_sx_channels	0.5966743685437917	0.4371313487222052	0.3625515183838095
log_carrol_d2_channels	0.5824214468877691	0.4367653149236055	0.3633050466228967
log_lyne_d3_channels	0.5964730789629551	0.4418049318449066	0.3644298407388262
log_range_videos	0.6220101561305049	0.4363052753265339	0.4001423382701932
log_sort_gini_videos	0.6069599295057102	0.4367978557091794	0.409861976257746
log_juilland_d_videos	0.583894973860567	0.4370024877624395	0.3655144230697539
log_gries_dp_videos	0.5985026222426819	0.444842741140625	0.3660931684553532
log_rosengren_s_videos	0.614551558276901	0.4366383905696896	0.4090564673981538
log_rosengren_sx_videos	0.5981544808507964	0.4354035290599942	0.3627893893048257
log_carrol_d2_videos	0.5825713375637158	0.4368085915759364	0.3643770670492358
log_lyne_d3_videos	0.5931914587861418	0.4396815758081251	0.3624246094325575
