	English	Japanese	Spanish
frequency	0.5446501510738039	0.4571969241219227	0.4539506669397184
range	0.8493170325918713	0.7772077748220771	0.8328205886128942
sort_gini	0.7668259188732572	0.7052047042468511	0.7577810354715832
juilland_d	0.722483681195247	0.6025810236058748	0.6791934057069642
gries_dp	0.7135382940490976	0.5846436421408334	0.6841056632567951
rosengren_s	0.8284581109459289	0.7615133000618405	0.8143181942096335
rosengren_sx	0.766692140178508	0.6550143878223951	0.7401104282666379
carrol_d2	0.7684072094209502	0.6680885404517171	0.7382501345601794
lyne_d3	0.4846352636191597	0.4214825330342668	0.3828448825586819
range_channels	0.6869419363818827	0.6938031273814758	0.6939808938321986
sort_gini_channels	0.6164773084185544	0.5968339113874676	0.6099004489923973
juilland_d_channels	0.8908196079797992	0.8687523315670932	0.8741635674461977
gries_dp_channels	0.7949829628586107	0.8842593095259601	0.890382356190981
rosengren_s_channels	0.6466547336691741	0.6346985785114285	0.6432667695603114
rosengren_sx_channels	0.7255875241932216	0.8333548615536791	0.8280341946438887
carrol_d2_channels	0.9778865684335156	0.9739260717997612	0.9760161286404088
lyne_d3_channels	0.4805440874102238	0.5130101841641004	0.3832199960805639
range_videos	0.6526741229874586	0.6045121666063749	0.6007227273714462
sort_gini_videos	0.5994496922984944	0.5638600705798836	0.5646169541762871
juilland_d_videos	0.8745709735323267	0.838001191781381	0.8430994408128363
gries_dp_videos	0.7058920625130316	0.725626653767448	0.721195792466595
rosengren_s_videos	0.6234495657967376	0.5812906742193888	0.5805529625105348
rosengren_sx_videos	0.6460743374301503	0.6513753357837153	0.6556269491175758
carrol_d2_videos	0.9806149745962504	0.9831919606672443	0.9851299900821048
lyne_d3_videos	0.4745849148076839	0.4759211327693521	0.3757642458172729
log_frequency	1.0	1.0	1.0
log_range	0.7840964388043411	0.7189043906084691	0.7571405472537334
log_sort_gini	0.7836502134783477	0.6971049227498295	0.7452647707699112
log_juilland_d	0.2428109774074316	0.2421229159950723	0.3104127690624085
log_gries_dp	0.4344333762286863	0.3557574373651158	0.4412394038668068
log_rosengren_s	0.3048724056926984	0.2925175415426825	0.3124892546742288
log_rosengren_sx	0.6764980886800432	0.6035679684896248	0.6186213946827036
log_carrol_d2	0.2407860590365088	0.2261576434641353	0.284102028759169
log_lyne_d3			
log_range_channels	0.9887843183648456	0.9831962208867708	0.9884830526762992
log_sort_gini_channels	0.9788652819801864	0.9765310587540242	0.9796849990351324
log_juilland_d_channels	0.5388447752080449	0.5047412976456725	0.5027124108013445
log_gries_dp_channels	0.77037010103555	0.4362985115216358	0.8019446677180749
log_rosengren_s_channels	0.9846422055789882	0.981018411900582	0.9849858671987004
log_rosengren_sx_channels	0.958470598502878	0.9165493444310692	0.9348785729798532
log_carrol_d2_channels	0.6820404077970103	0.740540928998226	0.6775282174866376
log_lyne_d3_channels	0.500506493519303	0.368286413164394	0.4395406105837331
log_range_videos	0.9904310469050088	0.9913732989267884	0.9930422616198844
log_sort_gini_videos	0.9813062364363786	0.98417945502409	0.9867578598874572
log_juilland_d_videos	0.5192205180875512	0.3772964137190118	0.4483880158285696
log_gries_dp_videos	0.7740371562816684	0.4124092466004694	0.8162013250739288
log_rosengren_s_videos	0.9864926911219296	0.9884010921361088	0.990281344100999
log_rosengren_sx_videos	0.971281598925572	0.9652156414146178	0.9775994825531586
log_carrol_d2_videos	0.6618364758838267	0.6646190824242194	0.6278500324648303
log_lyne_d3_videos	0.4881593284254281	0.3362972782718073	0.4198396178218269
