	English	Japanese	Spanish
frequency	-0.334931668415102	-0.1709371210083685	-0.2409713926005853
range	-0.736897075184662	-0.5021152853554139	-0.5998028179596707
sort_gini	-0.665805730771135	-0.4518451484612577	-0.5649355077890965
juilland_d	-0.622503822369623	-0.3674314395219473	-0.4710990217309008
gries_dp	-0.6251522565145462	-0.3540707229001275	-0.4925712082312006
rosengren_s	-0.7278483438665049	-0.4931887530616874	-0.6004131504268408
rosengren_sx	-0.6722991778062977	-0.4034664233109022	-0.5082876665077523
carrol_d2	-0.6718522416639408	-0.4110764154284042	-0.5197484363468403
lyne_d3	-0.3308788480618584	-0.2317712763552196	-0.1846725681714315
range_channels	-0.461561269437548	-0.364394457893982	-0.4007572671458856
sort_gini_channels	-0.4025591190039129	-0.2787021085547113	-0.3441011913352542
juilland_d_channels	-0.7296772488530142	-0.5854932201235034	-0.5722204283764329
gries_dp_channels	-0.5784044247008928	-0.5646181878477714	-0.5606341508461857
rosengren_s_channels	-0.4275226090535564	-0.3111567625370397	-0.3661070198948919
rosengren_sx_channels	-0.5097327583148239	-0.5133679374112112	-0.507819840308047
carrol_d2_channels	-0.7831819129091244	-0.6548692162110603	-0.6263082602515447
lyne_d3_channels	-0.3131134414756106	-0.2855626809053953	-0.1763790544367046
range_videos	-0.4294019593491109	-0.2841372108700943	-0.3363397030457764
sort_gini_videos	-0.3866921070740513	-0.2511465603348567	-0.3150569304352446
juilland_d_videos	-0.7133263387115304	-0.5492327865268646	-0.5363435972352069
gries_dp_videos	-0.481151123326997	-0.3942483129697933	-0.4189855367061503
rosengren_s_videos	-0.4058213730075635	-0.2650890675628145	-0.3244516084210937
rosengren_sx_videos	-0.430134510494308	-0.323685971565807	-0.3767518823116475
carrol_d2_videos	-0.782089935688717	-0.655533238296523	-0.6295231105951282
lyne_d3_videos	-0.3056690564934174	-0.2460812062422079	-0.1660372314401513
log_frequency	-0.7623994857576365	-0.6612794336321833	-0.6035775322691067
log_range	-0.6504603520978416	-0.4352517527134272	-0.5027620306930604
log_sort_gini	-0.6680232726052167	-0.4358963549260732	-0.5249649163238848
log_juilland_d	-0.2486965274049773	-0.105670764738842	-0.232229226192317
log_gries_dp	-0.4449466222448357	-0.2150721020731522	-0.3852164514664908
log_rosengren_s	-0.3160873568249133	-0.1552765332350758	-0.2516814902815111
log_rosengren_sx	-0.5495400806320745	-0.3567158520767812	-0.3714434015104642
log_carrol_d2	-0.2607354328583376	-0.0997080757631406	-0.2213566296820278
log_lyne_d3			
log_range_channels	-0.7862691647564882	-0.659306241404415	-0.6287217541571588
log_sort_gini_channels	-0.7796204962401078	-0.6605735287532565	-0.6290993745074891
log_juilland_d_channels	-0.3563595839114581	-0.2965228988216777	-0.2632216328399603
log_gries_dp_channels	-0.6846113007345789	-0.186662767840763	-0.5351289047305616
log_rosengren_s_channels	-0.7843377121302805	-0.6612111322326212	-0.6306660982865755
log_rosengren_sx_channels	-0.7677454605675768	-0.5890372356561024	-0.5713641578613704
log_carrol_d2_channels	-0.4824384485016908	-0.4640748466538645	-0.3839966704277128
log_lyne_d3_channels	-0.4932569503635265	-0.1687202506184895	-0.3081035324637627
log_range_videos	-0.7834163151383066	-0.6597115164938109	-0.6222919540514286
log_sort_gini_videos	-0.7798223519983237	-0.657649742100524	-0.6309541465417278
log_juilland_d_videos	-0.3410992083961205	-0.2114169190404234	-0.2188859072627017
log_gries_dp_videos	-0.6766155482593776	-0.1839077832725188	-0.5288558341095967
log_rosengren_s_videos	-0.7825945720762485	-0.6591437468953287	-0.6277818514351095
log_rosengren_sx_videos	-0.772703835822755	-0.6356947753371337	-0.595366244021659
log_carrol_d2_videos	-0.4650182827468537	-0.4105830176864759	-0.3422950201606047
log_lyne_d3_videos	-0.4730818301943842	-0.160197980363095	-0.268394682335124
