	English	Spanish	Japanese
frequency	-0.334931668415102	-0.2409713926005853	-0.1709371210083685
range	-0.736897075184662	-0.5998028179596707	-0.5021152853554139
sort_gini	-0.665805730771135	-0.5649355077890965	-0.4518451484612577
juilland_d	-0.622503822369623	-0.4710990217309008	-0.3674314395219473
gries_dp	-0.6251522565145462	-0.4925712082312006	-0.3540707229001275
rosengren_s	-0.7278483438665049	-0.6004131504268408	-0.4931887530616874
carrol_d2	-0.6718522416639408	-0.5197484363468403	-0.4110764154284042
lyne_d3	-0.3308788480618584	-0.1846725681714315	-0.2317712763552196
range_channels	-0.461561269437548	-0.4007572671458856	-0.364394457893982
sort_gini_channels	-0.4025591190039129	-0.3441011913352542	-0.2787021085547113
juilland_d_channels	-0.7296772488530142	-0.5722204283764329	-0.5854932201235034
gries_dp_channels	-0.5784044247008928	-0.5606341508461857	-0.5646181878477714
rosengren_s_channels	-0.4275226090535564	-0.3661070198948919	-0.3111567625370397
carrol_d2_channels	-0.7831819129091244	-0.6263082602515447	-0.6548692162110603
lyne_d3_channels	-0.3131134414756106	-0.1763790544367046	-0.2855626809053953
range_videos	-0.4294019593491109	-0.3363397030457764	-0.2841372108700943
sort_gini_videos	-0.3866921070740513	-0.3150569304352446	-0.2511465603348567
juilland_d_videos	-0.7133263387115304	-0.5363435972352069	-0.5492327865268646
gries_dp_videos	-0.481151123326997	-0.4189855367061503	-0.3942483129697933
rosengren_s_videos	-0.4058213730075635	-0.3244516084210937	-0.2650890675628145
carrol_d2_videos	-0.782089935688717	-0.6295231105951282	-0.655533238296523
lyne_d3_videos	-0.3056690564934174	-0.1660372314401513	-0.2460812062422079
log_frequency	-0.7623994857576365	-0.6035775322691067	-0.6612794336321833
log_range	-0.6504603520978416	-0.5027620306930604	-0.4352517527134272
log_sort_gini	-0.2960700841871688	-0.1797981996631859	-0.4261389369174833
log_juilland_d	-0.2486965274049773	-0.232229226192317	-0.105670764738842
log_gries_dp	-0.4449466222448357	-0.3852164514664908	-0.2150721020731522
log_rosengren_s	-0.3160873568249133	-0.2516814902815111	-0.1552765332350758
log_carrol_d2	-0.2607354328583376	-0.2213566296820278	-0.0997080757631406
log_lyne_d3	-0.2266007544027717	-0.1175195267133723	-0.2242486658506897
log_range_channels	-0.7862691647564882	-0.6287217541571588	-0.659306241404415
log_sort_gini_channels	-0.5407377695318061	-0.4288446440722382	-0.6588589404820724
log_juilland_d_channels	-0.3896036286317519	-0.2870903479014923	-0.2240647674065498
log_gries_dp_channels	-0.4323240773953133	-0.4525600644513793	-0.487187443759784
log_rosengren_s_channels	-0.3970054830158248	-0.332903450597329	-0.2684107111754562
log_carrol_d2_channels	-0.3912611691142232	-0.30660697307932	-0.2383610236944452
log_lyne_d3_channels	-0.2259759229906693	-0.1172836919376423	-0.2729310621364678
log_range_videos	-0.7834163151383066	-0.6222919540514286	-0.6597115164938109
log_sort_gini_videos	-0.5468426261395088	-0.4460347214295159	-0.6558345749476622
log_juilland_d_videos	-0.3896078583003101	-0.2838039229432956	-0.227890088064531
log_gries_dp_videos	-0.3455081957976004	-0.3264664360221752	-0.2229591768715083
log_rosengren_s_videos	-0.3720974620520068	-0.3021321369633197	-0.2332204069347329
log_carrol_d2_videos	-0.3769908463922456	-0.292647975069891	-0.228757841483434
log_lyne_d3_videos	-0.2257411992290336	-0.1169783705392726	-0.2320003241149009
