	English	Japanese	Spanish
frequency	570	570	593
range	570	570	593
sort_gini	570	570	593
juilland_d	570	570	593
gries_dp	570	570	593
rosengren_s	570	570	593
rosengren_sx	570	570	593
carrol_d2	570	570	593
lyne_d3	570	570	593
range_channels	570	570	593
sort_gini_channels	570	570	593
juilland_d_channels	570	570	593
gries_dp_channels	570	570	593
rosengren_s_channels	570	570	593
rosengren_sx_channels	570	570	593
carrol_d2_channels	570	570	593
lyne_d3_channels	570	570	593
range_videos	570	570	593
sort_gini_videos	570	570	593
juilland_d_videos	570	570	593
gries_dp_videos	570	570	593
rosengren_s_videos	570	570	593
rosengren_sx_videos	570	570	593
carrol_d2_videos	570	570	593
lyne_d3_videos	570	570	593
log_frequency	570	570	593
log_range	570	570	593
log_sort_gini	570	570	593
log_juilland_d	570	570	593
log_gries_dp	570	570	593
log_rosengren_s	570	570	593
log_rosengren_sx	570	570	593
log_carrol_d2	570	570	593
log_lyne_d3			
log_range_channels	570	570	593
log_sort_gini_channels	570	570	593
log_juilland_d_channels	570	570	593
log_gries_dp_channels	570	570	593
log_rosengren_s_channels	570	570	593
log_rosengren_sx_channels	570	570	593
log_carrol_d2_channels	570	570	593
log_lyne_d3_channels	570	570	593
log_range_videos	570	570	593
log_sort_gini_videos	570	570	593
log_juilland_d_videos	570	570	593
log_gries_dp_videos	570	570	593
log_rosengren_s_videos	570	570	593
log_rosengren_sx_videos	570	570	593
log_carrol_d2_videos	570	570	593
log_lyne_d3_videos	570	570	593
