	English	Japanese	Spanish
frequency	0.000000	0.000000	0.000000
range	0.078376	0.000000	0.838884
sort_gini	0.000000	0.000000	0.085825
juilland_d	0.000000	0.000000	0.000001
gries_dp	0.000000	0.000000	0.000023
rosengren_s	0.025566	0.000000	0.871123
rosengren_sx	0.000001	0.000000	0.000062
carrol_d2	0.000001	0.000000	0.000422
lyne_d3	0.000000	0.000000	0.000000
range_channels	0.000000	0.000000	0.000000
sort_gini_channels	0.000000	0.000000	0.000000
juilland_d_channels	0.009293	0.000003	0.056005
gries_dp_channels	0.000000	0.000000	0.005319
rosengren_s_channels	0.000000	0.000000	0.000000
rosengren_sx_channels	0.000000	0.000000	0.000001
carrol_d2_channels	0.000170	0.372340	0.001276
lyne_d3_channels	0.000000	0.000000	0.000000
range_videos	0.000000	0.000000	0.000000
sort_gini_videos	0.000000	0.000000	0.000000
juilland_d_videos	0.000303	0.000000	0.000277
gries_dp_videos	0.000000	0.000000	0.000000
rosengren_s_videos	0.000000	0.000000	0.000000
rosengren_sx_videos	0.000000	0.000000	0.000000
carrol_d2_videos	0.000146	0.319877	0.000003
lyne_d3_videos	0.000000	0.000000	0.000000
log_frequency			
log_range	0.000000	0.000000	0.000012
log_sort_gini	0.000000	0.000000	0.000791
log_juilland_d	0.000000	0.000000	0.000000
log_gries_dp	0.000000	0.000000	0.000000
log_rosengren_s	0.000000	0.000000	0.000000
log_rosengren_sx	0.000000	0.000000	0.000000
log_carrol_d2	0.000000	0.000000	0.000000
log_lyne_d3			
log_range_channels	0.000000	0.732163	0.000000
log_sort_gini_channels	0.001529	0.917318	0.000081
log_juilland_d_channels	0.000000	0.000000	0.000000
log_gries_dp_channels	0.000020	0.000000	0.000945
log_rosengren_s_channels	0.000002	0.991093	0.000001
log_rosengren_sx_channels	0.486399	0.000000	0.006733
log_carrol_d2_channels	0.000000	0.000000	0.000000
log_lyne_d3_channels	0.000000	0.000000	0.000000
log_range_videos	0.000000	0.704650	0.000001
log_sort_gini_videos	0.000652	0.516878	0.000000
log_juilland_d_videos	0.000000	0.000000	0.000000
log_gries_dp_videos	0.000002	0.000000	0.000189
log_rosengren_s_videos	0.000003	0.656037	0.000000
log_rosengren_sx_videos	0.106293	0.002177	0.237516
log_carrol_d2_videos	0.000000	0.000000	0.000000
log_lyne_d3_videos	0.000000	0.000000	0.000000
