	English	Japanese	Spanish
BNC-Spoken	0.8553131674444548		
CREA-Spoken			0.8661710959319461
CSJ		0.7676595284582424	
ACTIV-ES			0.7651092669354981
EsPal			0.8881008968844043
LaboroTV1+2		0.8444430484649205	
OpenSubtitles	0.9033776634316392	0.2894298747153064	0.8967927464601511
SubIMDB	0.8831823271163631		
SubIMDB_R	0.8832		
SUBTLEX	0.8724040078767682		0.8544829032910114
SUBTLEX-UK	0.8857350564593635		
SUBTLEX_R	0.8724		0.8672
GINI	0.5513218018010186	0.5494108126480849	
GINI_R	0.5513		
Wikipedia	0.8605909765918826	0.8153356988022042	0.8253787055364314
Wikipedia_R	0.8606		0.8591
wordfreq	0.9587042652453612	0.8451763673487885	0.9273580266925358
TUBELEX\textsubscript{default}	1.0	1.0	1.0
TUBELEX\textsubscript{regex}	0.9998741659873932		0.9765735366661256
TUBELEX\textsubscript{base}		0.9508415254637684	
TUBELEX\textsubscript{lemma}	0.8954245669730175	0.8842925598081458	0.8546802103273756
TUBELEX_entertainment	0.9437975839561298	0.9715552397922814	0.9788621787996268
TUBELEX_entertainment_L	0.8504863837520599	0.8478003782077885	0.8343604840368837
TUBELEX_entertainment_B		0.9205491001635384	
TUBELEX_entertainment_R	0.9439891839635256		0.9557287548989124
TUBELEX_comedy	0.8322047227781113	0.8524954993362459	0.8014661666590919
TUBELEX_comedy_L	0.7594342731672402	0.7415334113070621	0.7149257783402424
TUBELEX_comedy_B		0.8047867206756572	
TUBELEX_comedy_R	0.8325373774580336		0.7823261982584114
