	English	Japanese	Spanish
BNC-Spoken	0.000005		
CREA-Spoken			0.000000
CSJ		0.000001	
ACTIV-ES			0.000116
EsPal			0.122061
LaboroTV1+2		0.003253	
OpenSubtitles	0.000501	0.000000	0.092118
SubIMDB	0.000585		
SUBTLEX	0.000002		0.400486
SUBTLEX-UK	0.002593		
GINI	0.000000	0.000000	
Wikipedia	0.000000	0.000000	0.000000
wordfreq	0.897597	0.001044	0.000398
TUBELEX\textsubscript{default}			
TUBELEX\textsubscript{regex}	0.007186		0.038470
TUBELEX\textsubscript{base}		0.718565	
TUBELEX\textsubscript{lemma}	0.256905	0.008801	0.005709
TUBELEX_entertainment	0.151308	0.015119	0.889581
TUBELEX_entertainment_L	0.209031	0.000102	0.005557
TUBELEX_entertainment_B		0.032970	
TUBELEX_entertainment_R	0.134192		0.094625
TUBELEX_comedy	0.000000	0.000001	0.000033
TUBELEX_comedy_L	0.000000	0.000000	0.624563
TUBELEX_comedy_B		0.000001	
TUBELEX_comedy_R	0.000000		0.000006
