	English	Japanese	Spanish
BNC-Spoken	0.474849316212879		
CREA-Spoken			0.1863503069769446
CSJ		0.3031658927896672	
ACTIV-ES			-0.2530872771064252
EsPal			0.1701153374593601
LaboroTV1+2		0.3430208698028175	
OpenSubtitles	0.444736513178176	0.0193006552119454	0.33187896572547
SubIMDB	0.3773137506779864		
SUBTLEX	0.3943109616139209		-0.2542668261568988
SUBTLEX-UK	0.5125675844699829		
GINI	0.0408323910539877	0.1038005324024597	
Wikipedia	0.3652578443328642	0.2238596705962401	-0.2552667591168982
wordfreq	0.5775032496031031	0.3641620204751318	0.2676262810645444
TUBELEX\textsubscript{default}	0.5525393234644096	0.3979786325283617	0.3277978481245649
TUBELEX\textsubscript{regex}	0.5519464672578167		0.3075891265454364
TUBELEX\textsubscript{base}		0.4238474916184113	
TUBELEX\textsubscript{lemma}	0.5608135413129495	0.2337577805806955	0.2986848440899999
TUBELEX_entertainment	0.5555460412241384	0.3834206513071793	0.3217129840747198
TUBELEX_entertainment_L	0.5466618744093678	0.2268838989889851	0.2981681709637881
TUBELEX_entertainment_B		0.3428327902439201	
TUBELEX_entertainment_R	0.5547305342680325		0.3033750945603189
TUBELEX_comedy	0.3337128781859022	0.3261829964693779	0.1631544915139726
TUBELEX_comedy_L	0.3882275912092576	0.1940892675770854	0.1742286847816305
TUBELEX_comedy_B		0.3207397778752467	
TUBELEX_comedy_R	0.3330534261269925		0.1348790014350755
Archaelogy (ID=2)	0.4393	-0.0983	0.2304
GMU (ID=1)	0.5247	-0.0393	-0.0731
TMU-HIT (ID=2)	0.5147	0.4129	0.494
