,,Chinese,English,Indonesian,Japanese,Spanish
BNC-Spoken,tokens,,10365473.0,,,
BNC-Spoken,types,,669417.0,,,
CREA-Spoken,tokens,,,,,3171903.0
CREA-Spoken,types,,,,,67979.0
CSJ,tokens,,,,7479773.0,
CSJ,types,,,,40630.0,
HKUST/MTS,tokens,1342379.0,,,,
HKUST/MTS,types,42247.0,,,,
ACTIV-ES,tokens,,,,,3897234.0
ACTIV-ES,types,,,,,80787.0
EsPal,tokens,,,,,462611693.0
EsPal,types,,,,,35257.0
LaboroTV1+2,tokens,,,,99367439.0,
LaboroTV1+2,types,,,,218762.0,
OpenSubtitles,tokens,191379324,3235391790,137231876,23665222,1512443143
OpenSubtitles,types,1009838,2290458,456125,58856,1629907
SUBTLEX,tokens,33546516.0,49719560.0,,,40017237.0
SUBTLEX,types,99121.0,74286.0,,,94261.0
SUBTLEX-UK,tokens,,201706753.0,,,
SUBTLEX-UK,types,,160022.0,,,
GINI,tokens,,,,,
GINI,types,,324713.0,,208275.0,
Wikipedia,tokens,271230431,2489387103,117956650,610467200,685158870
Wikipedia,types,1403791,2161820,373461,522210,986947
wordfreq,tokens,,,,,
wordfreq,types,334609,321180,31188,214960,342072
TUBELEX\textsubscript{default},tokens,17865686,170750870,34903381,163439781,166423254
TUBELEX\textsubscript{default},types,432532,467296,307633,409503,613181
