,tokens,correlation
BNC-Spoken:en,10365473.0,-0.5484145126670397
CREA-Spoken:es,3171903.0,-0.6447544585972673
CSJ:ja,7479773.0,
HKUST/MTS:zh,1342379.0,-0.4648409212865051
ACTIV-ES:es,3897234.0,-0.5996990072140441
EsPal:es,462611693.0,-0.8068529845935702
LaboroTV1+2:ja,99367439.0,
OpenSubtitles:zh,191379324.0,-0.5679496233388431
OpenSubtitles:en,3235391790.0,-0.6466286038255281
OpenSubtitles:id,137231876.0,
OpenSubtitles:es,1512443143.0,-0.811323821495673
SUBTLEX:zh,33546516.0,-0.5874147192012094
SUBTLEX:en,49719560.0,-0.6330564551570276
SUBTLEX:es,40017237.0,-0.7632335689054153
SUBTLEX-UK:en,201706753.0,-0.6249011269485103
Wikipedia:zh,271230431.0,-0.4237629314490317
Wikipedia:en,2489387103.0,-0.5395770516568789
Wikipedia:id,117956650.0,
Wikipedia:ja,610467200.0,
Wikipedia:es,685158870.0,-0.7045775299966215
TUBELEX:zh,17865686.0,-0.5746116823237043
TUBELEX:en,170750870.0,-0.6274276249451158
TUBELEX:id,34903381.0,
TUBELEX:ja,163439781.0,
TUBELEX:es,166423254.0,-0.8085689550207231
