,tokens,correlation
BNC-Spoken:en,10365473.0,-0.6953631634193879
CREA-Spoken:es,3171903.0,-0.5078316976008774
CSJ:ja,7479773.0,-0.5278455940919553
HKUST/MTS:zh,1342379.0,
ACTIV-ES:es,3897234.0,-0.5161410317151096
EsPal:es,462611693.0,-0.6268369833282313
LaboroTV1+2:ja,99367439.0,-0.6096264341083443
OpenSubtitles:zh,191379324.0,
OpenSubtitles:en,3235391790.0,-0.7208218825997619
OpenSubtitles:id,137231876.0,
OpenSubtitles:es,1512443143.0,-0.6280171100379882
SubIMDB:en,179967485.0,-0.7173693819039385
SUBTLEX:zh,33546516.0,
SUBTLEX:en,49719560.0,-0.6962492562863549
SUBTLEX:es,40017237.0,-0.6181833562147951
SUBTLEX-UK:en,201706753.0,-0.7235359140965706
Wikipedia:zh,271230431.0,
Wikipedia:en,2489387103.0,-0.6508546468796506
Wikipedia:id,117956650.0,
Wikipedia:ja,610467200.0,-0.4870447210636496
Wikipedia:es,685158870.0,-0.454136369176965
TUBELEX\textsubscript{default}:zh,17865686.0,
TUBELEX\textsubscript{default}:en,170750870.0,-0.7624221692428996
TUBELEX\textsubscript{default}:id,34903381.0,
TUBELEX\textsubscript{default}:ja,163439781.0,-0.6612570694981781
TUBELEX\textsubscript{default}:es,169188689.0,-0.6035914912871118
TUBELEX\textsubscript{regex}:en,170816384.0,-0.761265334111746
TUBELEX\textsubscript{regex}:id,34293878.0,
TUBELEX\textsubscript{regex}:es,166423254.0,-0.5877020930900111
TUBELEX\textsubscript{base}:ja,163439781.0,-0.6577223753225969
TUBELEX\textsubscript{lemma}:en,170764637.0,-0.748664472037042
TUBELEX\textsubscript{lemma}:id,34904605.0,
TUBELEX\textsubscript{lemma}:ja,163462537.0,-0.621586706392527
TUBELEX\textsubscript{lemma}:es,169188635.0,-0.6501491470849449
