,tokens,coverage
BNC-Spoken:en,10365473.0,0.9177330895795247
CREA-Spoken:es,3171903.0,0.9571428571428572
CSJ:ja,7479773.0,0.6113988999766214
HKUST/MTS:zh,1342379.0,0.4644193216855087
ACTIV-ES:es,3897234.0,0.9492857142857143
EsPal:es,462611693.0,0.9757142857142858
LaboroTV1+2:ja,99367439.0,0.8409272680291863
OpenSubtitles:zh,191379324.0,0.9919424460431655
OpenSubtitles:en,3235391790.0,0.9971562055657119
OpenSubtitles:id,137231876.0,0.9953020134228188
OpenSubtitles:es,1512443143.0,1.0
SubIMDB:en,179967485.0,0.9926873857404022
SUBTLEX:zh,33546516.0,0.9167934224049332
SUBTLEX:en,49719560.0,0.9819215925248832
SUBTLEX:es,40017237.0,0.9857142857142858
SUBTLEX-UK:en,201706753.0,0.9859841560024375
Wikipedia:zh,271230431.0,0.9857348406988695
Wikipedia:en,2489387103.0,0.9991874873044891
Wikipedia:id,117956650.0,0.9919463087248322
Wikipedia:ja,610467200.0,0.9278586457654021
Wikipedia:es,685158870.0,1.0
TUBELEX\textsubscript{default}:zh,18021001.0,0.9738951695786228
TUBELEX\textsubscript{default}:en,172457887.0,0.9924842575665245
TUBELEX\textsubscript{default}:id,35534309.0,0.9932885906040269
TUBELEX\textsubscript{default}:ja,163439781.0,0.9074208512261446
TUBELEX\textsubscript{default}:es,170983317.0,1.0
TUBELEX\textsubscript{regex}:en,179139158.0,0.99289051391428
TUBELEX\textsubscript{regex}:id,35501746.0,0.9932885906040269
TUBELEX\textsubscript{regex}:es,168456930.0,1.0
TUBELEX\textsubscript{base}:ja,165932178.0,0.9170183706365124
TUBELEX\textsubscript{lemma}:en,170764637.0,0.9930936420881576
TUBELEX\textsubscript{lemma}:id,35529242.0,0.9946308724832215
TUBELEX\textsubscript{lemma}:ja,165937400.0,0.9305410293954793
TUBELEX\textsubscript{lemma}:es,170945890.0,1.0
