,tokens,coverage
BNC-Spoken:en,10365473.0,0.8912280701754386
CREA-Spoken:es,3171903.0,0.863406408094435
CSJ:ja,7479773.0,0.9
HKUST/MTS:zh,1342379.0,
ACTIV-ES:es,3897234.0,0.7841483979763912
EsPal:es,462611693.0,0.9780775716694773
LaboroTV1+2:ja,99367439.0,0.9824561403508771
OpenSubtitles:zh,191379324.0,
OpenSubtitles:en,3235391790.0,0.9824561403508771
OpenSubtitles:id,137231876.0,
OpenSubtitles:es,1512443143.0,0.9983136593591906
SubIMDB:en,179967485.0,0.9596491228070175
SUBTLEX:zh,33546516.0,
SUBTLEX:en,49719560.0,0.9333333333333333
SUBTLEX:es,40017237.0,0.8903878583473862
SUBTLEX-UK:en,201706753.0,0.9526315789473684
Wikipedia:zh,271230431.0,
Wikipedia:en,2489387103.0,0.9982456140350877
Wikipedia:id,117956650.0,
Wikipedia:ja,610467200.0,0.9964912280701754
Wikipedia:es,685158870.0,0.9932546374367622
TUBELEX\textsubscript{default}:zh,17865686.0,
TUBELEX\textsubscript{default}:en,170750870.0,0.9859649122807017
TUBELEX\textsubscript{default}:id,34903381.0,
TUBELEX\textsubscript{default}:ja,163439781.0,1.0
TUBELEX\textsubscript{default}:es,169188689.0,0.9915682967959528
TUBELEX\textsubscript{regex}:en,170816384.0,0.987719298245614
TUBELEX\textsubscript{regex}:id,34293878.0,
TUBELEX\textsubscript{regex}:es,166423254.0,0.9915682967959528
TUBELEX\textsubscript{base}:ja,163439781.0,1.0
TUBELEX\textsubscript{lemma}:en,170764637.0,0.9859649122807017
TUBELEX\textsubscript{lemma}:id,34904605.0,
TUBELEX\textsubscript{lemma}:ja,163462537.0,1.0
TUBELEX\textsubscript{lemma}:es,169188635.0,0.9949409780775716
