videos_in_channel	channels
1	52488
2	8434
3	3008
4	1505
5	811
6	515
7	338
8	235
9	178
10	136
11	126
12	96
13	72
14	44
15	48
16	25
17	25
18	24
19	17
20	17
21	22
22	11
23	11
24	18
25	11
26	13
27	12
28	10
29	7
30	5
31	3
32	6
33	5
34	3
35	4
36	8
37	7
38	6
39	6
40	2
41	2
42	2
43	6
44	2
45	2
46	3
47	3
48	2
49	1
50	3
52	4
53	3
54	1
55	2
56	2
58	2
59	1
60	2
61	2
66	1
67	3
72	1
74	2
75	2
76	3
77	3
78	1
79	1
80	1
81	1
86	1
87	1
90	1
94	1
95	2
96	1
100	1
110	1
111	1
112	1
115	1
127	1
129	1
130	1
135	1
137	1
147	1
171	1
183	1
203	1
226	1
229	1
274	1
279	1
373	1
379	1
430	1
1384	1
NO_CHANNEL_ID	0
