videos_in_channel	channels
1	25567
2	5062
3	2294
4	1390
5	897
6	596
7	444
8	360
9	286
10	257
11	200
12	151
13	125
14	108
15	106
16	106
17	76
18	98
19	42
20	56
21	43
22	45
23	40
24	46
25	26
26	14
27	20
28	18
29	27
30	19
31	22
32	13
33	13
34	12
35	18
36	17
37	14
38	13
39	12
40	12
41	8
42	14
43	7
44	7
45	10
46	9
47	6
48	8
49	7
50	11
51	6
52	9
53	4
54	6
55	6
56	5
57	3
58	5
59	4
60	2
61	5
62	2
63	5
64	3
65	4
66	5
67	1
69	1
71	2
72	9
74	8
75	2
76	2
77	3
78	4
79	1
80	1
81	3
82	6
83	2
84	3
85	6
86	1
90	1
91	1
92	1
93	3
94	3
97	1
98	1
100	1
101	1
102	3
103	1
104	1
115	1
117	2
118	1
119	1
122	1
128	1
132	1
134	1
139	2
143	2
144	1
147	2
148	1
151	1
154	1
159	1
165	1
168	1
171	1
172	1
173	1
192	1
194	1
212	1
237	1
245	1
254	1
257	1
267	1
268	1
296	1
384	1
394	1
402	1
417	1
456	1
529	1
614	1
654	1
738	1
NO_CHANNEL_ID	0
