videos_in_channel	channels
1	28475
2	6066
3	2712
4	1513
5	980
6	671
7	568
8	388
9	276
10	228
11	208
12	172
13	146
14	107
15	113
16	75
17	87
18	67
19	57
20	60
21	49
22	46
23	31
24	33
25	32
26	21
27	29
28	31
29	17
30	17
31	20
32	16
33	13
34	11
35	10
36	10
37	10
38	13
39	10
40	5
41	6
42	6
43	8
44	8
45	9
46	8
47	3
48	5
49	5
50	5
51	5
52	6
54	2
55	8
56	3
57	4
58	7
59	3
60	7
61	3
62	4
63	2
64	1
65	2
66	1
67	2
70	5
71	7
72	1
73	2
74	3
76	2
77	1
78	4
79	1
80	1
81	2
82	3
83	1
84	2
87	1
91	2
93	1
95	1
97	1
99	1
100	2
101	1
105	2
106	1
107	2
108	1
110	1
112	2
113	1
114	2
123	1
127	2
128	1
136	1
142	1
147	1
152	1
153	1
161	1
166	1
185	1
189	1
194	1
200	1
253	1
330	1
658	1
2387	1
NO_CHANNEL_ID	0
