videos_in_channel	channels
1	18632
2	4243
3	1993
4	1160
5	763
6	565
7	439
8	356
9	257
10	218
11	184
12	164
13	133
14	107
15	78
16	91
17	69
18	66
19	65
20	62
21	52
22	54
23	39
24	39
25	26
26	25
27	35
28	26
29	30
30	19
31	24
32	23
33	18
34	22
35	24
36	17
37	18
38	15
39	8
40	17
41	11
42	10
43	11
44	11
45	8
46	16
47	7
48	6
49	4
50	14
51	5
52	6
53	7
54	8
55	7
56	4
57	7
58	5
59	12
60	7
61	6
62	6
63	5
64	3
65	2
66	2
67	3
68	5
69	5
70	8
71	4
72	4
73	5
74	2
75	3
76	3
77	2
78	2
79	6
80	3
81	3
82	4
83	3
84	1
85	2
86	3
87	2
88	1
89	2
91	5
92	4
93	3
94	1
96	1
97	1
99	1
100	1
101	2
102	1
103	1
104	2
105	1
106	1
107	2
108	3
109	1
110	1
111	1
112	2
118	1
121	1
123	2
124	1
125	1
127	2
129	3
135	2
136	2
137	2
142	2
143	2
144	2
145	1
146	1
147	1
155	1
158	1
159	1
163	1
173	1
174	1
175	1
177	1
183	1
185	1
188	1
190	2
194	1
195	1
197	1
201	1
202	2
205	1
206	2
207	1
208	1
217	1
218	2
236	2
237	1
258	1
267	1
279	2
289	1
293	1
298	1
302	1
394	1
396	1
400	1
407	1
462	1
467	1
478	1
480	1
818	1
NO_CHANNEL_ID	0
