videos_in_channel	channels
1	5792
2	1685
3	899
4	638
5	381
6	337
7	299
8	238
9	186
10	166
11	130
12	121
13	119
14	96
15	92
16	69
17	66
18	54
19	63
20	41
21	44
22	38
23	50
24	46
25	40
26	33
27	29
28	35
29	30
30	19
31	28
32	25
33	24
34	17
35	25
36	21
37	21
38	15
39	14
40	16
41	13
42	14
43	16
44	17
45	10
46	5
47	12
48	8
49	11
50	6
51	6
52	4
53	10
54	13
55	4
56	9
57	6
58	4
59	8
60	7
61	6
62	2
63	7
64	6
65	6
66	5
67	9
68	6
69	4
70	6
71	10
72	9
73	5
74	8
75	4
76	8
77	4
78	6
79	8
80	5
81	3
82	2
83	2
84	3
85	5
86	3
87	3
88	4
89	1
91	2
92	1
93	3
94	2
95	1
96	1
97	2
98	3
99	3
100	4
101	2
102	1
103	3
105	1
106	3
107	4
108	4
109	2
110	2
112	1
113	7
114	1
115	2
116	1
117	2
118	2
119	1
120	1
121	1
123	3
124	2
126	4
127	1
128	1
129	3
131	1
133	1
134	1
136	1
139	3
141	4
142	3
145	1
148	1
150	1
152	2
154	1
159	1
160	1
161	1
167	5
168	2
170	2
171	1
172	1
173	1
174	1
176	1
177	3
178	1
179	1
183	1
184	1
186	1
188	1
189	1
192	1
194	1
195	1
197	1
198	1
202	3
205	3
209	1
211	2
214	1
215	3
216	1
217	1
220	1
224	1
225	1
226	1
230	1
234	2
246	1
247	2
249	1
251	2
256	3
257	1
258	1
269	1
276	1
278	1
279	1
282	1
284	1
290	1
299	1
308	2
319	1
320	1
341	1
342	1
346	1
369	1
385	1
408	1
409	1
421	1
444	1
447	1
485	1
486	1
489	1
501	1
572	1
577	1
599	1
603	1
657	1
679	1
721	1
736	1
738	1
740	1
1180	1
1355	1
2790	1
NO_CHANNEL_ID	0
